Survey month,Parameter,State and territory,Sex,Classification,Category,Full_time,Full_time_RSE,Part_time,Part_time_RSE,With paid leave entitlements,With paid leave entitlements_RSE,Without paid leave entitlements,Without paid leave entitlements_RSE,Total,Total_RSE,Sub_Category,ParentCategory
2014,Median weekly earnings,NSW,Females,Relationship in household,Family member,1121.218,1.2,500.0,1.2,985.758,1.1,345.0,5.4,812.635,1.6,,Family member
2014,Median weekly earnings,NSW,Females,Relationship in household,"   Husband, wife or partner",1200.0,2.3,595.906,2.1,1000.0,1.8,442.208,5.8,902.006,2.3,"Husband, wife or partner",Family member
2014,Median weekly earnings,NSW,Females,Relationship in household,      With dependants,1250.0,2.9,603.978,5.2,1000.0,2.6,450.0,5.7,900.0,3.2,With dependants,Family member
2014,Median weekly earnings,NSW,Females,Relationship in household,      Without dependants,1150.0,3.6,524.077,3.7,1000.0,2.9,400.0,9.6,925.429,3.6,Without dependants,Family member
2014,Median weekly earnings,NSW,Females,Relationship in household,   Lone parent,1100.0,5.8,500.0,11.6,961.532,6.7,318.735,11.3,825.464,6.1,Lone parent,Family member
2014,Median weekly earnings,NSW,Females,Relationship in household,   Dependent student,425.04,0.1,147.258,9.6,341.127,16.9,129.495,11.0,148.941,9.6,Dependent student,Family member
2014,Median weekly earnings,NSW,Females,Relationship in household,   Non-dependent child,882.104,4.6,480.0,10.4,836.596,4.8,425.459,13.8,789.21,2.3,Non-dependent child,Family member
2014,Median weekly earnings,NSW,Females,Relationship in household,   Other related individual,946.611,7.0,491.957,18.3,786.299,10.7,446.65,19.8,697.307,8.6,Other related individual,Family member
2014,Median weekly earnings,NSW,Females,Relationship in household,Non-family member,1231.894,4.7,514.258,9.2,1150.0,3.4,450.0,16.8,1015.534,3.2,,Non-family member
2014,Median weekly earnings,NSW,Females,Relationship in household,   Lone person,1380.0,4.9,606.32,10.2,1215.0,3.4,483.441,14.9,1125.901,3.9,Lone person,Non-family member
2014,Median weekly earnings,NSW,Females,Relationship in household,   Not living alone,1020.565,5.0,240.928,34.8,1017.334,5.0,244.634,39.0,950.0,5.3,Not living alone,Non-family member
2014,Median weekly earnings,NSW,Females,Relationship in household,Relationship not determined,0.0,0.0,244.468,0.1,0.0,0.0,244.468,0.1,279.331,0.1,,Relationship not determined
2014,Median weekly earnings,VIC,Persons,Relationship in household,Family member,1186.662,1.1,430.0,3.2,1054.0,1.8,367.0,4.4,923.63,1.4,,Family member
2014,Median weekly earnings,VIC,Persons,Relationship in household,"   Husband, wife or partner",1251.354,1.7,550.0,3.7,1150.0,2.2,575.0,5.4,1049.054,2.2,"Husband, wife or partner",Family member
2014,Median weekly earnings,VIC,Persons,Relationship in household,      With dependants,1301.689,2.6,550.0,4.6,1199.099,3.0,533.443,6.8,1057.0,3.4,With dependants,Family member
2014,Median weekly earnings,VIC,Persons,Relationship in household,      Without dependants,1204.168,2.0,538.352,4.8,1100.0,2.2,600.0,5.1,1001.861,2.6,Without dependants,Family member
2014,Median weekly earnings,VIC,Persons,Relationship in household,   Lone parent,1150.0,4.4,517.885,5.2,995.533,6.1,406.305,21.0,878.721,5.9,Lone parent,Family member
2014,Median weekly earnings,VIC,Persons,Relationship in household,   Dependent student,664.146,28.7,138.023,5.5,210.02,9.4,125.861,7.2,140.317,6.2,Dependent student,Family member
2014,Median weekly earnings,VIC,Persons,Relationship in household,   Non-dependent child,900.0,3.3,422.102,9.2,851.413,3.7,413.081,11.9,800.0,2.4,Non-dependent child,Family member
2014,Median weekly earnings,VIC,Persons,Relationship in household,   Other related individual,998.36,5.4,355.998,15.9,958.0,7.3,415.362,25.8,816.186,5.9,Other related individual,Family member
2014,Median weekly earnings,VIC,Persons,Relationship in household,Non-family member,1169.386,2.6,499.13,5.1,1150.0,2.9,556.957,14.4,1016.332,2.7,,Non-family member
2014,Median weekly earnings,VIC,Persons,Relationship in household,   Lone person,1290.595,4.0,563.388,12.9,1221.416,4.0,638.602,20.8,1150.0,2.4,Lone person,Non-family member
2014,Median weekly earnings,VIC,Persons,Relationship in household,   Not living alone,1025.0,4.0,394.746,9.6,1004.604,3.7,550.0,15.7,901.749,5.4,Not living alone,Non-family member
2014,Median weekly earnings,VIC,Persons,Relationship in household,Relationship not determined,885.163,25.6,214.331,0.1,865.574,29.0,148.156,0.1,700.97,19.0,,Relationship not determined
2014,Median weekly earnings,VIC,Males,Relationship in household,Family member,1300.0,1.8,340.0,6.7,1250.0,2.0,480.118,8.5,1107.574,2.2,,Family member
2014,Median weekly earnings,VIC,Males,Relationship in household,"   Husband, wife or partner",1379.753,2.3,500.0,8.4,1342.0,1.9,760.124,5.1,1294.802,1.7,"Husband, wife or partner",Family member
2014,Median weekly earnings,VIC,Males,Relationship in household,      With dependants,1400.0,3.1,500.0,8.8,1400.0,3.6,850.339,8.2,1342.0,3.1,With dependants,Family member
2014,Median weekly earnings,VIC,Males,Relationship in household,      Without dependants,1300.0,2.1,497.651,10.3,1279.891,1.2,714.454,7.1,1216.868,2.5,Without dependants,Family member
2014,Median weekly earnings,VIC,Males,Relationship in household,   Lone parent,1598.357,8.1,765.57,19.2,1353.775,11.0,847.116,51.7,1350.0,9.9,Lone parent,Family member
2014,Median weekly earnings,VIC,Males,Relationship in household,   Dependent student,941.53,0.1,142.371,7.2,216.725,12.3,132.759,7.7,147.048,6.6,Dependent student,Family member
2014,Median weekly earnings,VIC,Males,Relationship in household,   Non-dependent child,850.0,4.5,400.0,11.7,850.0,5.0,482.809,15.7,767.533,1.8,Non-dependent child,Family member
2014,Median weekly earnings,VIC,Males,Relationship in household,   Other related individual,1017.167,15.3,335.421,26.4,999.161,14.8,501.143,37.5,866.951,10.3,Other related individual,Family member
2014,Median weekly earnings,VIC,Males,Relationship in household,Non-family member,1200.0,2.7,460.0,6.9,1200.0,3.2,748.689,9.4,1090.0,3.5,,Non-family member
2014,Median weekly earnings,VIC,Males,Relationship in household,   Lone person,1351.179,4.4,742.847,14.2,1334.031,5.5,864.071,17.7,1239.862,5.4,Lone person,Non-family member
2014,Median weekly earnings,VIC,Males,Relationship in household,   Not living alone,1035.0,4.8,391.989,11.8,1026.015,4.9,666.035,15.1,950.0,6.0,Not living alone,Non-family member
2014,Median weekly earnings,VIC,Males,Relationship in household,Relationship not determined,955.139,16.6,657.591,0.1,844.714,21.5,0.0,0.0,770.357,20.0,,Relationship not determined
