anzsco_code,occupation,education,percentage
313199,Other ICT Support Technicians,Advanced Diploma/ Diploma ,14.9
313211,Radiocommunications Technicians,Advanced Diploma/ Diploma ,22.1
313212,Telecommunications Field Engineers,Advanced Diploma/ Diploma ,17.3
313213,Telecommunications Network Planners,Advanced Diploma/ Diploma ,17.9
313214,Telecommunications Technical Officers and Technologists,Advanced Diploma/ Diploma ,33.6
321211,Motor Mechanics (General),Advanced Diploma/ Diploma ,6.1
321212,Diesel Motor Mechanics,Advanced Diploma/ Diploma ,2.9
321213,Motorcycle Mechanics,Advanced Diploma/ Diploma ,2.9
321214,Small Engine Mechanics,Advanced Diploma/ Diploma ,2.5
322111,Blacksmiths,Advanced Diploma/ Diploma ,4.5
322112,Electroplaters,Advanced Diploma/ Diploma ,4.3
322113,Farriers,Advanced Diploma/ Diploma ,5.0
322114,Metal Casting Trades Workers,Advanced Diploma/ Diploma ,3.6
322115,Metal Polishers,Advanced Diploma/ Diploma ,4.3
322311,Metal Fabricators,Advanced Diploma/ Diploma ,2.8
322312,Pressure Welders,Advanced Diploma/ Diploma ,4.2
322313,Welders (First Class),Advanced Diploma/ Diploma ,4.4
323111,Aircraft Maintenance Engineers (Avionics),Advanced Diploma/ Diploma ,16.8
323112,Aircraft Maintenance Engineers (Mechanical),Advanced Diploma/ Diploma ,12.1
323113,Aircraft Maintenance Engineers (Structures),Advanced Diploma/ Diploma ,9.1
323211,Fitters (General),Advanced Diploma/ Diploma ,5.2
323212,Fitter and Turners,Advanced Diploma/ Diploma ,4.2
323213,Fitter-Welders,Advanced Diploma/ Diploma ,2.8
323214,Metal Machinists (First Class),Advanced Diploma/ Diploma ,10.3
323215,"Textile, Clothing and Footwear Mechanics",Advanced Diploma/ Diploma ,10.0
323299,Other Metal Fitters and Machinists,Advanced Diploma/ Diploma ,4.2
323311,Engravers,Advanced Diploma/ Diploma ,10.9
323312,Gunsmiths,Advanced Diploma/ Diploma ,11.0
323313,Locksmiths,Advanced Diploma/ Diploma ,3.3
323314,Precision Instrument Makers and Repairers,Advanced Diploma/ Diploma ,15.9
323315,Saw Doctors,Advanced Diploma/ Diploma ,1.4
323316,Watch and Clock Makers and Repairers,Advanced Diploma/ Diploma ,4.8
323411,Engineering Patternmakers,Advanced Diploma/ Diploma ,9.8
323412,Toolmakers,Advanced Diploma/ Diploma ,17.7
324211,Vehicle Body Builders,Advanced Diploma/ Diploma ,4.0
324212,Vehicle Trimmers,Advanced Diploma/ Diploma ,3.6
331111,Bricklayers,Advanced Diploma/ Diploma ,2.6
331112,Stonemasons,Advanced Diploma/ Diploma ,4.7
331212,Carpenters,Advanced Diploma/ Diploma ,3.6
331213,Joiners,Advanced Diploma/ Diploma ,4.3
333211,Fibrous Plasterers,Advanced Diploma/ Diploma ,3.9
333212,Solid Plasterers,Advanced Diploma/ Diploma ,3.7
334111,Plumbers (General),Advanced Diploma/ Diploma ,2.5
334112,Airconditioning and Mechanical Services Plumbers,Advanced Diploma/ Diploma ,3.0
334113,Drainers,Advanced Diploma/ Diploma ,2.4
334114,Gasfitters,Advanced Diploma/ Diploma ,3.5
334115,Roof Plumbers,Advanced Diploma/ Diploma ,2.0
341111,Electricians (General),Advanced Diploma/ Diploma ,5.4
341112,Electricians (Special Class),Advanced Diploma/ Diploma ,17.5
341113,Lift Mechanics,Advanced Diploma/ Diploma ,6.5
342211,Electrical Linesworkers,Advanced Diploma/ Diploma ,4.1
342212,Technical Cable Jointers,Advanced Diploma/ Diploma ,4.2
342311,Business Machine Mechanics,Advanced Diploma/ Diploma ,16.7
342312,Communications Operators,Advanced Diploma/ Diploma ,11.8
342313,Electronic Equipment Trades Workers,Advanced Diploma/ Diploma ,14.6
342314,Electronic Instrument Trades Workers (General),Advanced Diploma/ Diploma ,22.3
342315,Electronic Instrument Trades Workers (Special Class),Advanced Diploma/ Diploma ,20.9
342411,Cablers (Data and Telecommunications),Advanced Diploma/ Diploma ,7.5
342412,Telecommunications Cable Jointers,Advanced Diploma/ Diploma ,5.9
342413,Telecommunications Linesworkers,Advanced Diploma/ Diploma ,8.4
342414,Telecommunications Technicians,Advanced Diploma/ Diploma ,14.9
351111,Bakers,Advanced Diploma/ Diploma ,7.8
351112,Pastrycooks,Advanced Diploma/ Diploma ,17.0
361111,Dog Handlers and Trainers,Advanced Diploma/ Diploma ,13.5
361112,Horse Trainers,Advanced Diploma/ Diploma ,8.7
361113,Pet Groomers,Advanced Diploma/ Diploma ,10.1
361114,Zookeepers,Advanced Diploma/ Diploma ,7.0
361115,Kennel Hands,Advanced Diploma/ Diploma ,4.8
361199,Other Animal Attendants and Trainers,Advanced Diploma/ Diploma ,10.4
362211,Gardeners (General),Advanced Diploma/ Diploma ,10.6
362212,Arborists,Advanced Diploma/ Diploma ,15.3
362213,Landscape Gardeners,Advanced Diploma/ Diploma ,8.5
392111,Print Finishers,Advanced Diploma/ Diploma ,6.8
392112,Screen Printers,Advanced Diploma/ Diploma ,9.4
392311,Printing Machinists,Advanced Diploma/ Diploma ,7.7
392312,Small Offset Printers,Advanced Diploma/ Diploma ,9.3
393111,Canvas Goods Fabricators,Advanced Diploma/ Diploma ,5.4
393112,Leather Goods Makers,Advanced Diploma/ Diploma ,9.4
393113,Sail Makers,Advanced Diploma/ Diploma ,7.0
393114,Shoemakers,Advanced Diploma/ Diploma ,6.3
393211,Apparel Cutters,Advanced Diploma/ Diploma ,11.0
393212,Clothing Patternmakers,Advanced Diploma/ Diploma ,39.3
393213,Dressmakers and Tailors,Advanced Diploma/ Diploma ,14.6
393299,Other Clothing Trades Workers,Advanced Diploma/ Diploma ,16.4
394211,Furniture Finishers,Advanced Diploma/ Diploma ,4.0
394212,Picture Framers,Advanced Diploma/ Diploma ,11.8
394213,Wood Machinists,Advanced Diploma/ Diploma ,2.9
394214,Wood Turners,Advanced Diploma/ Diploma ,9.6
394299,Other Wood Machinists and Wood Trades Workers,Advanced Diploma/ Diploma ,5.3
399111,Boat Builders and Repairers,Advanced Diploma/ Diploma ,5.0
399112,Shipwrights,Advanced Diploma/ Diploma ,4.8
399211,Chemical Plant Operators,Advanced Diploma/ Diploma ,8.4
399212,Gas and Petroleum Operators,Advanced Diploma/ Diploma ,13.4
399213,Power Generation Plant Operators,Advanced Diploma/ Diploma ,19.6
399311,Gallery and Museum Technicians,Advanced Diploma/ Diploma ,8.8
399312,Library Technicians,Advanced Diploma/ Diploma ,33.5
399511,Broadcast Transmitter Operators,Advanced Diploma/ Diploma ,19.5
399512,"Camera Operators (Film, Television or Video)",Advanced Diploma/ Diploma ,15.2
399513,Light Technicians,Advanced Diploma/ Diploma ,21.1
399514,Make Up Artists,Advanced Diploma/ Diploma ,37.8
399515,Musical Instrument Makers and Repairers,Advanced Diploma/ Diploma ,15.6
399516,Sound Technicians,Advanced Diploma/ Diploma ,23.0
399517,Television Equipment Operators,Advanced Diploma/ Diploma ,16.1
399599,Other Performing Arts Technicians,Advanced Diploma/ Diploma ,18.9
399911,Divers,Advanced Diploma/ Diploma ,13.9
399912,Interior Decorators,Advanced Diploma/ Diploma ,28.7
399913,Optical Dispensers,Advanced Diploma/ Diploma ,12.9
399914,Optical Mechanics,Advanced Diploma/ Diploma ,12.2
399915,Photographer's Assistants,Advanced Diploma/ Diploma ,23.0
399916,Plastics Technicians,Advanced Diploma/ Diploma ,6.2
399917,Wool Classers,Advanced Diploma/ Diploma ,9.7
399918,Fire Protection Equipment Technicians,Advanced Diploma/ Diploma ,7.3
399999,Technicians and Trades Workers (not covered elsewhere),Advanced Diploma/ Diploma ,15.1
411111,Ambulance Officers,Advanced Diploma/ Diploma ,20.7
411112,Intensive Care Ambulance Paramedics,Advanced Diploma/ Diploma ,19.2
411211,Dental Hygienists,Advanced Diploma/ Diploma ,53.6
411212,Dental Prosthetists,Advanced Diploma/ Diploma ,69.4
411213,Dental Technicians,Advanced Diploma/ Diploma ,43.5
411214,Dental Therapists,Advanced Diploma/ Diploma ,15.7
411411,Enrolled Nurses,Advanced Diploma/ Diploma ,70.9
411412,Mothercraft Nurses,Advanced Diploma/ Diploma ,41.7
411711,Community Workers,Advanced Diploma/ Diploma ,23.8
411712,Disabilities Services Officers,Advanced Diploma/ Diploma ,22.4
411713,Family Support Workers,Advanced Diploma/ Diploma ,27.0
411714,Parole and Probation Officers,Advanced Diploma/ Diploma ,17.2
411715,Residential Care Officers,Advanced Diploma/ Diploma ,31.0
411716,Youth Workers,Advanced Diploma/ Diploma ,26.2
421111,Child Care Workers,Advanced Diploma/ Diploma ,28.8
421112,Family Day Care Workers,Advanced Diploma/ Diploma ,30.7
421113,Nannies,Advanced Diploma/ Diploma ,14.2
421114,Out of School Hours Care Workers,Advanced Diploma/ Diploma ,14.1
422111,Aboriginal and Torres Strait Islander Education Workers,Advanced Diploma/ Diploma ,11.0
422112,Integration Aides,Advanced Diploma/ Diploma ,15.2
422115,Preschool Aides,Advanced Diploma/ Diploma ,25.7
422116,Teachers' Aides,Advanced Diploma/ Diploma ,14.7
423311,Hospital orderlies,Advanced Diploma/ Diploma ,8.5
423312,Nursing Support Workers,Advanced Diploma/ Diploma ,15.5
423313,Personal Care Assistants,Advanced Diploma/ Diploma ,12.9
423314,Therapy Aides,Advanced Diploma/ Diploma ,14.3
423411,Child and Youth Residential Care Assistants,Advanced Diploma/ Diploma ,28.7
423412,Hostel Parents,Advanced Diploma/ Diploma ,12.5
423413,Refuge Workers,Advanced Diploma/ Diploma ,18.9
431111,Bar Attendants,Advanced Diploma/ Diploma ,7.9
431112,Baristas,Advanced Diploma/ Diploma ,9.7
431911,Bar Usefuls and Bussers,Advanced Diploma/ Diploma ,7.1
431912,Doorpersons and Luggage Porters,Advanced Diploma/ Diploma ,12.3
431999,Hospitality Workers (not covered elsewhere),Advanced Diploma/ Diploma ,8.1
441211,Emergency Service Workers,Advanced Diploma/ Diploma ,26.9
441212,Fire Fighters,Advanced Diploma/ Diploma ,18.9
441311,Detectives,Advanced Diploma/ Diploma ,48.9
441312,Police Officers,Advanced Diploma/ Diploma ,42.6
442211,"Alarm, Security and Surveillance Monitors",Advanced Diploma/ Diploma ,14.5
442212,Armoured Car Escorts,Advanced Diploma/ Diploma ,8.8
442213,Crowd Controllers,Advanced Diploma/ Diploma ,10.1
442214,Private Investigators,Advanced Diploma/ Diploma ,19.8
442215,Retail Loss Prevention Officers,Advanced Diploma/ Diploma ,11.2
442216,Security Consultants,Advanced Diploma/ Diploma ,21.8
442217,Security Officers,Advanced Diploma/ Diploma ,12.0
442299,Other Security Workers,Advanced Diploma/ Diploma ,15.7
451311,Funeral Directors,Advanced Diploma/ Diploma ,13.9
451399,Funeral Workers (Other),Advanced Diploma/ Diploma ,14.0
451411,Gallery and Museum Guides,Advanced Diploma/ Diploma ,10.3
451412,Tour Guides,Advanced Diploma/ Diploma ,13.2
451511,Natural Remedy Consultants,Advanced Diploma/ Diploma ,26.9
451512,Weight Loss Consultants,Advanced Diploma/ Diploma ,14.9
451513,Herbalists (Western),Advanced Diploma/ Diploma ,35.9
451611,Tourist Information Officers,Advanced Diploma/ Diploma ,17.5
451612,Travel Consultants,Advanced Diploma/ Diploma ,24.3
451711,Flight Attendants,Advanced Diploma/ Diploma ,16.8
451799,Other Travel Attendants,Advanced Diploma/ Diploma ,12.1
451811,Civil Celebrants,Advanced Diploma/ Diploma ,18.4
451812,Hair and Beauty Salon Assistants,Advanced Diploma/ Diploma ,6.8
451814,Body Artists,Advanced Diploma/ Diploma ,13.7
451815,First Aid Trainers,Advanced Diploma/ Diploma ,21.5
451816,Religious Assistants,Advanced Diploma/ Diploma ,15.4
451899,Personal Service Workers (not covered elsewhere),Advanced Diploma/ Diploma ,14.4
452211,Bungy Jump Masters,Advanced Diploma/ Diploma ,
452212,Fishing Guides,Advanced Diploma/ Diploma ,6.2
452213,Hunting Guides,Advanced Diploma/ Diploma ,
452214,Mountain and Glacier Guides,Advanced Diploma/ Diploma ,
452215,Outdoor Adventure Instructors,Advanced Diploma/ Diploma ,9.0
452216,Trekking Guides,Advanced Diploma/ Diploma ,0.0
452217,Whitewater Rafting Guides,Advanced Diploma/ Diploma ,
452299,Other Outdoor Adventure Guides,Advanced Diploma/ Diploma ,12.6
452311,"Scuba, Snorkelling and Dive instructors",Advanced Diploma/ Diploma ,16.4
452312,Gymnastics Coaches and Instructors,Advanced Diploma/ Diploma ,5.8
452313,Horse Riding Coaches and Instructors,Advanced Diploma/ Diploma ,14.8
452314,Snowsport Instructors,Advanced Diploma/ Diploma ,6.1
452315,Swimming Coaches and Instructors,Advanced Diploma/ Diploma ,7.9
452316,Tennis Coaches,Advanced Diploma/ Diploma ,8.2
452317,Other Sports Coaches and Instructors,Advanced Diploma/ Diploma ,9.2
452318,Dog and Horse Racing Officials,Advanced Diploma/ Diploma ,13.8
452321,Sports Development Officers,Advanced Diploma/ Diploma ,11.7
452322,Sports Umpires,Advanced Diploma/ Diploma ,1.4
452323,Other Sports Officials,Advanced Diploma/ Diploma ,7.7
452411,"Footballers (Soccer, Rugby and AFL)",Advanced Diploma/ Diploma ,9.0
452412,Golfers,Advanced Diploma/ Diploma ,29.5
452413,Jockeys,Advanced Diploma/ Diploma ,1.5
452414,Lifeguards,Advanced Diploma/ Diploma ,4.9
452499,Other Sportspersons,Advanced Diploma/ Diploma ,5.9
511111,Contract Administrators,Advanced Diploma/ Diploma ,16.0
511112,Program and Project Administrators,Advanced Diploma/ Diploma ,15.1
512211,Health Practice Managers,Advanced Diploma/ Diploma ,20.1
512299,Other Practice Managers,Advanced Diploma/ Diploma ,18.9
521211,Secretaries (General),Advanced Diploma/ Diploma ,13.5
521212,Legal Secretaries,Advanced Diploma/ Diploma ,15.0
532111,Data Entry Operators,Advanced Diploma/ Diploma ,12.6
532112,Machine Shorthand Reporters,Advanced Diploma/ Diploma ,14.3
532113,Typists,Advanced Diploma/ Diploma ,13.8
541111,Call Centre or Contact Centre Team Leaders,Advanced Diploma/ Diploma ,15.4
541112,Call Centre or Contact Centre Operators,Advanced Diploma/ Diploma ,12.7
542111,Receptionists (General),Advanced Diploma/ Diploma ,12.2
542112,Admissions Clerks,Advanced Diploma/ Diploma ,14.5
542113,Hotel and Motel Receptionists,Advanced Diploma/ Diploma ,14.3
542114,Medical Receptionists,Advanced Diploma/ Diploma ,13.2
551111,Accounts Clerks,Advanced Diploma/ Diploma ,15.0
551112,Cost Clerks,Advanced Diploma/ Diploma ,12.6
552311,Bookmakers,Advanced Diploma/ Diploma ,6.5
552312,Insurance Consultants,Advanced Diploma/ Diploma ,15.5
552313,Money Market Clerks,Advanced Diploma/ Diploma ,12.8
552314,Statistical Clerks,Advanced Diploma/ Diploma ,10.2
561111,Betting Agency Counter Clerks,Advanced Diploma/ Diploma ,5.9
561112,Bookmaker's Clerks,Advanced Diploma/ Diploma ,
561113,Telephone Betting Clerks,Advanced Diploma/ Diploma ,7.2
561199,Other Betting Clerks,Advanced Diploma/ Diploma ,6.1
561211,Couriers,Advanced Diploma/ Diploma ,11.0
561212,Postal Delivery Officers,Advanced Diploma/ Diploma ,8.5
561411,Mail Clerks,Advanced Diploma/ Diploma ,10.4
561412,Postal Sorting Officers,Advanced Diploma/ Diploma ,9.5
561911,Classified Advertising Clerks,Advanced Diploma/ Diploma ,11.6
561912,Meter Readers,Advanced Diploma/ Diploma ,9.3
561913,Parking Inspectors,Advanced Diploma/ Diploma ,14.9
561999,Clerical and Office Support Workers (not covered elsewhere),Advanced Diploma/ Diploma ,11.1
591112,Production Clerks,Advanced Diploma/ Diploma ,14.1
591113,Purchasing Officers,Advanced Diploma/ Diploma ,15.1
591115,Stock Clerks,Advanced Diploma/ Diploma ,11.7
591116,Warehouse Administrators,Advanced Diploma/ Diploma ,12.2
591117,Order Clerks,Advanced Diploma/ Diploma ,12.7
591211,Despatching and Receiving Clerks,Advanced Diploma/ Diploma ,11.5
591212,Import-Export Clerks,Advanced Diploma/ Diploma ,18.7
599111,Conveyancers,Advanced Diploma/ Diploma ,27.3
599112,Legal Executives,Advanced Diploma/ Diploma ,9.9
599211,Clerks of Court,Advanced Diploma/ Diploma ,13.0
599212,Court Bailiffs and Sheriffs,Advanced Diploma/ Diploma ,17.2
599213,Court Orderlies,Advanced Diploma/ Diploma ,12.1
599214,Law Clerks,Advanced Diploma/ Diploma ,11.1
599215,Trust Officers,Advanced Diploma/ Diploma ,14.2
599511,Customs Officers,Advanced Diploma/ Diploma ,16.9
599512,Immigration Officers,Advanced Diploma/ Diploma ,15.5
599513,Motor Vehicle Licence Examiners,Advanced Diploma/ Diploma ,14.4
599514,Noxious Weeds and Pest Inspectors,Advanced Diploma/ Diploma ,14.7
599515,Social Security Assessors,Advanced Diploma/ Diploma ,15.1
599516,Taxation Inspectors,Advanced Diploma/ Diploma ,7.0
599517,Train Examiners,Advanced Diploma/ Diploma ,6.9
599518,Transport Operations Inspectors,Advanced Diploma/ Diploma ,16.6
599521,Water Inspectors,Advanced Diploma/ Diploma ,12.3
599599,Other Inspectors and Regulatory Officers,Advanced Diploma/ Diploma ,16.7
599611,Insurance Investigators,Advanced Diploma/ Diploma ,21.0
599612,Insurance Loss Adjusters,Advanced Diploma/ Diploma ,16.0
599613,Insurance Risk Surveyors,Advanced Diploma/ Diploma ,12.4
599912,"Production Assistants (Film, Television, Radio or Stage)",Advanced Diploma/ Diploma ,14.6
599913,Proof Readers,Advanced Diploma/ Diploma ,9.9
599914,Radio Despatchers,Advanced Diploma/ Diploma ,19.1
599915,Clinical Coders,Advanced Diploma/ Diploma ,17.1
599916,Facilities Administrators,Advanced Diploma/ Diploma ,18.8
599999,Clerical and Administrative Workers (not covered elsewhere),Advanced Diploma/ Diploma ,10.9
611111,Auctioneers,Advanced Diploma/ Diploma ,13.2
611112,Stock and Station Agents,Advanced Diploma/ Diploma ,12.7
611311,Sales Representatives (Building and Plumbing Supplies),Advanced Diploma/ Diploma ,12.3
611312,Sales Representatives (Business Services),Advanced Diploma/ Diploma ,13.5
611313,Sales Representatives (Motor Vehicle Parts and Accessories),Advanced Diploma/ Diploma ,9.7
611314,Sales Representatives (Personal and Household Goods),Advanced Diploma/ Diploma ,13.0
611399,Other Sales Representatives,Advanced Diploma/ Diploma ,14.5
612111,Business Brokers,Advanced Diploma/ Diploma ,18.3
612112,Property Managers,Advanced Diploma/ Diploma ,16.9
612113,Real Estate Agency Principals,Advanced Diploma/ Diploma ,22.3
612114,Real Estate Agents,Advanced Diploma/ Diploma ,19.7
612115,Real Estate Representatives,Advanced Diploma/ Diploma ,16.7
621311,Motor Vehicle and Caravan Salespersons,Advanced Diploma/ Diploma ,9.8
621312,Motor Vehicle Parts Interpreters,Advanced Diploma/ Diploma ,6.3
621711,Cash Van Salespersons,Advanced Diploma/ Diploma ,8.8
621712,Door-to-door Salespersons,Advanced Diploma/ Diploma ,12.0
621713,Street Vendors,Advanced Diploma/ Diploma ,12.2
621911,Materials Recyclers,Advanced Diploma/ Diploma ,3.6
621912,Rental Salespersons,Advanced Diploma/ Diploma ,11.9
621999,Sales Assistants and Salespersons (not covered elsewhere),Advanced Diploma/ Diploma ,11.7
631111,Checkout Operators,Advanced Diploma/ Diploma ,5.3
631112,Cashiers,Advanced Diploma/ Diploma ,8.8
639111,Models,Advanced Diploma/ Diploma ,12.3
639112,Sales Demonstrators,Advanced Diploma/ Diploma ,10.9
639211,Retail Buyers,Advanced Diploma/ Diploma ,15.0
639212,Wool Buyers,Advanced Diploma/ Diploma ,11.9
639411,Ticket Sellers,Advanced Diploma/ Diploma ,13.7
639412,Transport Conductors,Advanced Diploma/ Diploma ,10.4
711111,Clay Products Machine Operators,Advanced Diploma/ Diploma ,4.3
711112,Concrete Products Machine Operators,Advanced Diploma/ Diploma ,5.4
711113,Glass Production Machine Operators,Advanced Diploma/ Diploma ,5.8
711114,Stone Processing Machine Operators,Advanced Diploma/ Diploma ,6.7
711199,"Other Clay, Concrete, Glass and Stone Processing Machine Operators",Advanced Diploma/ Diploma ,6.8
711311,Paper Products Machine Operators,Advanced Diploma/ Diploma ,7.0
711313,Sawmilling Operators,Advanced Diploma/ Diploma ,2.1
711314,Other Wood Processing Machine Operators,Advanced Diploma/ Diploma ,4.3
711511,Plastic Cablemaking Machine Operators,Advanced Diploma/ Diploma ,7.1
711512,Plastic Compounding and Reclamation Machine Operators,Advanced Diploma/ Diploma ,0.0
711513,Plastics Fabricators and Welders,Advanced Diploma/ Diploma ,4.0
711514,Plastics Production Machine Operators (General),Advanced Diploma/ Diploma ,7.2
711515,Reinforced Plastic and Composite Production Workers,Advanced Diploma/ Diploma ,4.5
711516,Rubber Production Machine Operators,Advanced Diploma/ Diploma ,4.3
711599,Other Plastics and Rubber Production Machine Operators,Advanced Diploma/ Diploma ,4.7
711711,Footwear Production Machine Operators,Advanced Diploma/ Diploma ,7.4
711712,Hide and Skin Processing Machine Operators,Advanced Diploma/ Diploma ,9.7
711713,Knitting Machine Operators,Advanced Diploma/ Diploma ,11.1
711714,Textile Dyeing and Finishing Machine Operators,Advanced Diploma/ Diploma ,12.8
711715,Weaving Machine Operators,Advanced Diploma/ Diploma ,7.2
711716,Yarn Carding and Spinning Machine Operators,Advanced Diploma/ Diploma ,7.0
711799,Other Textile and Footwear Production Machine Operators,Advanced Diploma/ Diploma ,6.4
711911,Chemical Production Machine Operators,Advanced Diploma/ Diploma ,10.9
711912,Motion Picture Projectionists,Advanced Diploma/ Diploma ,9.1
711913,Sand Blasters,Advanced Diploma/ Diploma ,2.2
711914,Sterilisation Technicians,Advanced Diploma/ Diploma ,10.5
711999,Machine Operators (not covered elsewhere),Advanced Diploma/ Diploma ,7.3
712211,Drillers,Advanced Diploma/ Diploma ,6.5
712212,Miners,Advanced Diploma/ Diploma ,4.7
712213,Shot Firers,Advanced Diploma/ Diploma ,5.9
712911,Boiler and Engine Operators,Advanced Diploma/ Diploma ,5.0
712912,Bulk Materials Handling Plant Operators,Advanced Diploma/ Diploma ,4.2
712913,Cement Production Plant Operators,Advanced Diploma/ Diploma ,4.8
712914,Concrete Batching Plant Operators,Advanced Diploma/ Diploma ,4.3
712915,Concrete Pump Operators,Advanced Diploma/ Diploma ,2.9
712916,Paper and Pulp Mill Operators,Advanced Diploma/ Diploma ,5.4
712917,Railway Signal Operators,Advanced Diploma/ Diploma ,7.4
712918,Train Controllers,Advanced Diploma/ Diploma ,11.4
712921,Waste Water and Water Plant Operators,Advanced Diploma/ Diploma ,8.2
712922,Weighbridge Operators,Advanced Diploma/ Diploma ,8.0
712999,Stationary Plant Operators (not covered elsewhere),Advanced Diploma/ Diploma ,5.3
721111,Agricultural and Horticultural Mobile Plant Operators,Advanced Diploma/ Diploma ,4.7
721112,Logging Plant Operators,Advanced Diploma/ Diploma ,1.5
721211,Earthmoving Plant Operators (General),Advanced Diploma/ Diploma ,5.5
721212,Backhoe Operators,Advanced Diploma/ Diploma ,0.7
721213,Bulldozer Operators,Advanced Diploma/ Diploma ,2.0
721214,Excavator Operators,Advanced Diploma/ Diploma ,2.7
721215,Grader Operators,Advanced Diploma/ Diploma ,1.7
721216,Loader Operators,Advanced Diploma/ Diploma ,2.5
721911,Aircraft Baggage Handlers and Airline Ground Crews,Advanced Diploma/ Diploma ,10.9
721912,Linemarkers,Advanced Diploma/ Diploma ,3.9
721913,Paving Plant Operators,Advanced Diploma/ Diploma ,3.6
721914,Railway Track Plant Operators,Advanced Diploma/ Diploma ,5.7
721915,Road Roller Operators,Advanced Diploma/ Diploma ,2.5
721916,Streetsweeper Operators,Advanced Diploma/ Diploma ,4.3
721999,Mobile Plant Operators (not covered elsewhere),Advanced Diploma/ Diploma ,5.0
731111,Chauffeurs,Advanced Diploma/ Diploma ,12.8
731112,Taxi Drivers,Advanced Diploma/ Diploma ,15.8
731199,Other Automobile Drivers,Advanced Diploma/ Diploma ,15.3
731211,Bus Drivers,Advanced Diploma/ Diploma ,11.9
731212,Charter and Tour Bus Drivers,Advanced Diploma/ Diploma ,11.2
731213,Passenger Coach Drivers,Advanced Diploma/ Diploma ,8.2
731311,Train Drivers,Advanced Diploma/ Diploma ,6.6
731312,Tram Drivers,Advanced Diploma/ Diploma ,14.1
733111,Truck Drivers (General),Advanced Diploma/ Diploma ,6.0
733112,Aircraft Refuellers,Advanced Diploma/ Diploma ,10.3
733113,Furniture Removalist Drivers,Advanced Diploma/ Diploma ,6.0
733114,Tanker Drivers,Advanced Diploma/ Diploma ,4.5
733115,Tow Truck Drivers,Advanced Diploma/ Diploma ,5.3
811411,Commercial Housekeepers,Advanced Diploma/ Diploma ,8.0
811412,Domestic Housekeepers,Advanced Diploma/ Diploma ,8.9
811511,Laundry Workers (General),Advanced Diploma/ Diploma ,5.9
811512,Drycleaners,Advanced Diploma/ Diploma ,8.7
811513,Ironers and Pressers,Advanced Diploma/ Diploma ,7.5
811611,Carpet Cleaners,Advanced Diploma/ Diploma ,7.5
811612,Window Cleaners,Advanced Diploma/ Diploma ,7.8
811699,Cleaners (not covered elsewhere),Advanced Diploma/ Diploma ,5.9
821111,Builder's Labourers,Advanced Diploma/ Diploma ,5.2
821112,"Drainage, Sewerage and Stormwater Labourers",Advanced Diploma/ Diploma ,4.9
821113,Earthmoving Labourers,Advanced Diploma/ Diploma ,3.4
821114,Plumber's Assistants,Advanced Diploma/ Diploma ,5.2
821411,Building Insulation Installers,Advanced Diploma/ Diploma ,6.4
821412,Home Improvement Installers,Advanced Diploma/ Diploma ,4.7
821711,Construction Riggers,Advanced Diploma/ Diploma ,4.9
821712,Scaffolders,Advanced Diploma/ Diploma ,3.0
821713,Steel Fixers,Advanced Diploma/ Diploma ,4.1
821714,Structural Steel Erectors,Advanced Diploma/ Diploma ,2.3
821911,Crane Chasers,Advanced Diploma/ Diploma ,3.5
821912,Driller's Assistants,Advanced Diploma/ Diploma ,4.6
821913,Laggers,Advanced Diploma/ Diploma ,5.3
821914,Mining Support Workers,Advanced Diploma/ Diploma ,3.7
821915,Surveyor's Assistants,Advanced Diploma/ Diploma ,10.6
831111,Baking Factory Workers,Advanced Diploma/ Diploma ,8.6
831112,Brewery Workers,Advanced Diploma/ Diploma ,9.5
831113,Confectionery Makers,Advanced Diploma/ Diploma ,10.9
831114,Dairy Products Makers,Advanced Diploma/ Diploma ,7.0
831115,Fruit and Vegetable Factory Workers,Advanced Diploma/ Diploma ,5.9
831116,Grain Mill Workers,Advanced Diploma/ Diploma ,4.2
831117,Sugar Mill Workers,Advanced Diploma/ Diploma ,2.3
831118,Winery Cellar Hands,Advanced Diploma/ Diploma ,4.9
831199,Other Food and Drink Factory Workers,Advanced Diploma/ Diploma ,8.3
831211,Meat Boners and Slicers,Advanced Diploma/ Diploma ,3.8
831212,Slaughterers,Advanced Diploma/ Diploma ,2.1
831311,Meat Process Workers,Advanced Diploma/ Diploma ,5.0
831312,Poultry Process Workers,Advanced Diploma/ Diploma ,5.8
831313,Seafood Process Workers,Advanced Diploma/ Diploma ,5.0
832111,Chocolate Packers,Advanced Diploma/ Diploma ,6.3
832112,Container Fillers,Advanced Diploma/ Diploma ,6.3
832113,Fruit and Vegetable Packers,Advanced Diploma/ Diploma ,7.2
832114,Meat Packers,Advanced Diploma/ Diploma ,5.2
832115,Seafood Packers,Advanced Diploma/ Diploma ,8.4
832199,Other Packers,Advanced Diploma/ Diploma ,7.1
839211,Plastics Factory Workers,Advanced Diploma/ Diploma ,6.0
839212,Rubber Factory Workers,Advanced Diploma/ Diploma ,4.2
839311,Product Examiners,Advanced Diploma/ Diploma ,13.0
839312,Product Graders,Advanced Diploma/ Diploma ,6.4
839313,Product Testers,Advanced Diploma/ Diploma ,9.5
839411,Paper and Pulp Mill Workers,Advanced Diploma/ Diploma ,3.5
839412,Sawmill and Timber Yard Workers,Advanced Diploma/ Diploma ,2.7
