ï»¿Year,Year ending,Local Government Area,postcode,suburb_name,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,SAL_CODE21
2025,March,Greater Shepparton,3631,Pine Lodge,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,1,22074
2025,March,Greater Shepparton,3631,Pine Lodge,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,22074
2025,March,Greater Shepparton,3631,Pine Lodge,A Crimes against the person,Other crimes against the person,Other crimes against the person,1,22074
2025,March,Greater Shepparton,3631,Pine Lodge,B Property and deception offences,B10 Arson,B11 Cause damage by fire,1,22074
2025,March,Greater Shepparton,3631,Pine Lodge,B Property and deception offences,B20 Property damage,B21 Criminal damage,1,22074
2025,March,Greater Shepparton,3631,Pine Lodge,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1,22074
2025,March,Greater Shepparton,3631,Pine Lodge,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,1,22074
2025,March,Greater Shepparton,3631,Pine Lodge,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,1,22074
2025,March,Greater Shepparton,3631,Pine Lodge,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,1,22074
2025,March,Greater Shepparton,3631,Pine Lodge,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences,1,22074
2025,March,Greater Shepparton,3631,Shepparton East,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,6,22276
2025,March,Greater Shepparton,3631,Shepparton East,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2,22276
2025,March,Greater Shepparton,3631,Shepparton East,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,22276
2025,March,Greater Shepparton,3631,Shepparton East,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,2,22276
2025,March,Greater Shepparton,3631,Shepparton East,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,22276
2025,March,Greater Shepparton,3631,Shepparton East,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,22276
2025,March,Greater Shepparton,3631,Shepparton East,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,22276
2025,March,Greater Shepparton,3631,Shepparton East,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,22276
2025,March,Greater Shepparton,3631,Shepparton East,B Property and deception offences,B20 Property damage,B21 Criminal damage,2,22276
2025,March,Greater Shepparton,3631,Shepparton East,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1,22276
2025,March,Greater Shepparton,3631,Shepparton East,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,5,22276
2025,March,Greater Shepparton,3631,Shepparton East,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2,22276
2025,March,Greater Shepparton,3631,Shepparton East,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,9,22276
2025,March,Greater Shepparton,3631,Shepparton East,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,11,22276
2025,March,Greater Shepparton,3631,Shepparton East,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,1,22276
2025,March,Greater Shepparton,3631,Shepparton East,B Property and deception offences,B40 Theft,B49 Other theft,12,22276
2025,March,Greater Shepparton,3631,Shepparton East,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,1,22276
2025,March,Greater Shepparton,3631,Shepparton East,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,1,22276
2025,March,Greater Shepparton,3631,Shepparton East,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,1,22276
2025,March,Greater Shepparton,3631,Shepparton East,C Drug offences,C30 Drug use and possession,C32 Drug possession,2,22276
2025,March,Greater Shepparton,3631,Shepparton East,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,2,22276
2025,March,Greater Shepparton,3631,Shepparton East,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,22276
2025,March,Greater Shepparton,3631,Shepparton East,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,1,22276
2025,March,Greater Shepparton,3631,Shepparton East,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,22276
2025,March,Greater Shepparton,3631,Shepparton East,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,1,22276
2025,March,Greater Shepparton,3631,Shepparton East,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,2,22276
2025,March,Greater Shepparton,3631,Shepparton East,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,4,22276
2025,March,Greater Shepparton,3631,Shepparton North,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,4,22277
2025,March,Greater Shepparton,3631,Shepparton North,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,2,22277
2025,March,Greater Shepparton,3631,Shepparton North,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2,22277
2025,March,Greater Shepparton,3631,Shepparton North,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,1,22277
2025,March,Greater Shepparton,3631,Shepparton North,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,1,22277
2025,March,Greater Shepparton,3631,Shepparton North,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,22277
2025,March,Greater Shepparton,3631,Shepparton North,A Crimes against the person,Other crimes against the person,Other crimes against the person,1,22277
2025,March,Greater Shepparton,3631,Shepparton North,B Property and deception offences,B20 Property damage,B21 Criminal damage,6,22277
2025,March,Greater Shepparton,3631,Shepparton North,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,7,22277
2025,March,Greater Shepparton,3631,Shepparton North,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3,22277
2025,March,Greater Shepparton,3631,Shepparton North,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,2,22277
2025,March,Greater Shepparton,3631,Shepparton North,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,3,22277
2025,March,Greater Shepparton,3631,Shepparton North,B Property and deception offences,B40 Theft,B49 Other theft,5,22277
2025,March,Greater Shepparton,3631,Shepparton North,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,1,22277
2025,March,Greater Shepparton,3631,Shepparton North,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,3,22277
2025,March,Greater Shepparton,3631,Shepparton North,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,1,22277
2025,March,Greater Shepparton,3631,Shepparton North,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,1,22277
2025,March,Greater Shepparton,3631,Shepparton North,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,1,22277
2025,March,Greater Shepparton,3631,Shepparton North,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,1,22277
2025,March,Greater Shepparton,3631,Shepparton North,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,6,22277
2025,March,Greater Shepparton,3633,Congupna,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2,20620
2025,March,Greater Shepparton,3633,Congupna,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,2,20620
