SAL_CODE21,SAL_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,SHAPE_Leng,SHAPE_Area
20567,Clarkefield,2,Victoria,AUS,Australia,86.8846,http://linked.data.gov.au/dataset/asgsed3/SAL/20567,0.62343259663,0.00885164846076
20568,Clarkes Hill,2,Victoria,AUS,Australia,12.1611,http://linked.data.gov.au/dataset/asgsed3/SAL/20568,0.163785478339,0.0012390871614
20569,Clayton,2,Victoria,AUS,Australia,7.821,http://linked.data.gov.au/dataset/asgsed3/SAL/20569,0.143075741249,0.000801365585897
20570,Clayton South,2,Victoria,AUS,Australia,7.938,http://linked.data.gov.au/dataset/asgsed3/SAL/20570,0.124721755166,0.000813664515528
20571,Clear Lake,2,Victoria,AUS,Australia,129.8114,http://linked.data.gov.au/dataset/asgsed3/SAL/20571,0.630160470828,0.0131326069303
20572,Clematis,2,Victoria,AUS,Australia,1.8241,http://linked.data.gov.au/dataset/asgsed3/SAL/20572,0.0928452977245,0.000186923749245
20573,Clifton Creek,2,Victoria,AUS,Australia,52.0387,http://linked.data.gov.au/dataset/asgsed3/SAL/20573,0.508381596794,0.0053169905491
20574,Clifton Hill,2,Victoria,AUS,Australia,1.7387,http://linked.data.gov.au/dataset/asgsed3/SAL/20574,0.0621624435788,0.000177851471828
20575,Clifton Springs,2,Victoria,AUS,Australia,5.4374,http://linked.data.gov.au/dataset/asgsed3/SAL/20575,0.135020041181,0.000558859792005
20576,Clonbinane,2,Victoria,AUS,Australia,258.9998,http://linked.data.gov.au/dataset/asgsed3/SAL/20576,0.958403599878,0.0263412047391
20577,Clover Flat,2,Victoria,AUS,Australia,16.683,http://linked.data.gov.au/dataset/asgsed3/SAL/20577,0.259915228194,0.00170233022723
20578,Cloverlea,2,Victoria,AUS,Australia,17.8504,http://linked.data.gov.au/dataset/asgsed3/SAL/20578,0.244223693156,0.00183691006144
20579,Club Terrace,2,Victoria,AUS,Australia,501.6116,http://linked.data.gov.au/dataset/asgsed3/SAL/20579,1.25686951702,0.0511337878943
20580,Clunes (Vic.),2,Victoria,AUS,Australia,150.6003,http://linked.data.gov.au/dataset/asgsed3/SAL/20580,0.637929852208,0.0153028065502
20581,Clyde (Vic.),2,Victoria,AUS,Australia,40.2108,http://linked.data.gov.au/dataset/asgsed3/SAL/20581,0.272228612828,0.00413284234119
20582,Clyde North,2,Victoria,AUS,Australia,29.284,http://linked.data.gov.au/dataset/asgsed3/SAL/20582,0.27589736403,0.00300787123454
20583,Clydebank,2,Victoria,AUS,Australia,58.9963,http://linked.data.gov.au/dataset/asgsed3/SAL/20583,0.434311998557,0.00605510187122
20584,Clydesdale (Vic.),2,Victoria,AUS,Australia,14.6472,http://linked.data.gov.au/dataset/asgsed3/SAL/20584,0.190628579401,0.00148607532101
20585,Coalville,2,Victoria,AUS,Australia,8.516500000000002,http://linked.data.gov.au/dataset/asgsed3/SAL/20585,0.161614610639,0.000876394669944
20586,Cobains,2,Victoria,AUS,Australia,34.4253,http://linked.data.gov.au/dataset/asgsed3/SAL/20586,0.42893295121,0.00353478370959
20587,Cobaw,2,Victoria,AUS,Australia,16.4343,http://linked.data.gov.au/dataset/asgsed3/SAL/20587,0.278197872134,0.00166948363937
20588,Cobbannah,2,Victoria,AUS,Australia,188.939,http://linked.data.gov.au/dataset/asgsed3/SAL/20588,1.0440673054,0.0192870901266
20589,Cobberas,2,Victoria,AUS,Australia,449.2875,http://linked.data.gov.au/dataset/asgsed3/SAL/20589,1.1744284378,0.0453944465867
20590,Cobblebank,2,Victoria,AUS,Australia,7.5459,http://linked.data.gov.au/dataset/asgsed3/SAL/20590,0.141862310948,0.000770985472792
20591,Cobden,2,Victoria,AUS,Australia,76.9427,http://linked.data.gov.au/dataset/asgsed3/SAL/20591,0.730833409342,0.0079283816352
20592,Cobram,2,Victoria,AUS,Australia,81.19589999999998,http://linked.data.gov.au/dataset/asgsed3/SAL/20592,0.565216595503,0.00810939613
20593,Cobram East,2,Victoria,AUS,Australia,41.7828,http://linked.data.gov.au/dataset/asgsed3/SAL/20593,0.384067847263,0.00417503448814
20594,Cobrico,2,Victoria,AUS,Australia,37.274,http://linked.data.gov.au/dataset/asgsed3/SAL/20594,0.305801619976,0.00383844761031
20595,Cobungra,2,Victoria,AUS,Australia,182.4759,http://linked.data.gov.au/dataset/asgsed3/SAL/20595,0.737847136343,0.0184930376595
