anzsco_code,occupation,industry,industry_code
233211,Civil Engineers,Public Administration and Safety,O
233212,Geotechnical Engineers,"Professional, Scientific and Technical Services",M
233212,Geotechnical Engineers,Mining,B
233213,Quantity Surveyors,"Professional, Scientific and Technical Services",M
233213,Quantity Surveyors,Construction,E
233214,Structural Engineers,"Professional, Scientific and Technical Services",M
233214,Structural Engineers,Construction,E
233215,Transport Engineers,"Professional, Scientific and Technical Services",M
233215,Transport Engineers,Public Administration and Safety,O
233215,Transport Engineers,"Transport, Postal and Warehousing",I
233511,Industrial Engineers,Manufacturing,C
233511,Industrial Engineers,"Professional, Scientific and Technical Services",M
233511,Industrial Engineers,Construction,E
233512,Mechanical Engineers,"Professional, Scientific and Technical Services",M
233512,Mechanical Engineers,Manufacturing,C
233512,Mechanical Engineers,Mining,B
233513,Production and Plant Engineers,Manufacturing,C
233513,Production and Plant Engineers,"Professional, Scientific and Technical Services",M
233513,Production and Plant Engineers,Mining,B
233611,Mining Engineers (excluding Petroleum),Mining,B
233611,Mining Engineers (excluding Petroleum),"Professional, Scientific and Technical Services",M
233612,Petroleum Engineers,Mining,B
233612,Petroleum Engineers,"Professional, Scientific and Technical Services",M
233612,Petroleum Engineers,Construction,E
233911,Aeronautical Engineers,Public Administration and Safety,O
233911,Aeronautical Engineers,Manufacturing,C
233911,Aeronautical Engineers,"Professional, Scientific and Technical Services",M
233912,Agricultural Engineers,"Agriculture, Forestry and Fishing",A
233912,Agricultural Engineers,Manufacturing,C
233912,Agricultural Engineers,"Professional, Scientific and Technical Services",M
233913,Biomedical Engineers,Health Care and Social Assistance,Q
233913,Biomedical Engineers,Wholesale Trade,F
233913,Biomedical Engineers,Manufacturing,C
233914,Engineering Technologists,Manufacturing,C
233914,Engineering Technologists,"Professional, Scientific and Technical Services",M
233914,Engineering Technologists,Construction,E
233915,Environmental Engineers,"Professional, Scientific and Technical Services",M
233915,Environmental Engineers,"Electricity, Gas, Water and Waste Services",D
233915,Environmental Engineers,Public Administration and Safety,O
233916,Naval Architects,"Professional, Scientific and Technical Services",M
233916,Naval Architects,Manufacturing,C
233916,Naval Architects,Public Administration and Safety,O
233999,Engineering Professionals (not covered elsewhere),"Professional, Scientific and Technical Services",M
233999,Engineering Professionals (not covered elsewhere),Manufacturing,C
233999,Engineering Professionals (not covered elsewhere),Public Administration and Safety,O
234111,Agricultural Consultants,"Agriculture, Forestry and Fishing",A
234111,Agricultural Consultants,Public Administration and Safety,O
234111,Agricultural Consultants,"Professional, Scientific and Technical Services",M
234112,Agricultural Scientists,"Agriculture, Forestry and Fishing",A
234112,Agricultural Scientists,"Professional, Scientific and Technical Services",M
234112,Agricultural Scientists,Wholesale Trade,F
234113,Foresters,"Agriculture, Forestry and Fishing",A
234113,Foresters,Public Administration and Safety,O
234113,Foresters,"Professional, Scientific and Technical Services",M
234211,Chemists,Manufacturing,C
234211,Chemists,"Professional, Scientific and Technical Services",M
234211,Chemists,Education and Training,P
234212,Food Technologists,Manufacturing,C
234212,Food Technologists,"Professional, Scientific and Technical Services",M
234212,Food Technologists,Wholesale Trade,F
234213,Wine Makers,Manufacturing,C
234311,Conservation Officers,Public Administration and Safety,O
234311,Conservation Officers,"Professional, Scientific and Technical Services",M
234312,Environmental Consultants,"Professional, Scientific and Technical Services",M
234312,Environmental Consultants,Mining,B
234312,Environmental Consultants,Public Administration and Safety,O
234313,Environmental Research Scientists,"Professional, Scientific and Technical Services",M
234313,Environmental Research Scientists,Public Administration and Safety,O
234313,Environmental Research Scientists,"Electricity, Gas, Water and Waste Services",D
234314,Park Rangers,Arts and Recreation Services,R
234314,Park Rangers,Public Administration and Safety,O
234314,Park Rangers,"Agriculture, Forestry and Fishing",A
234399,Other Environmental Scientists,Public Administration and Safety,O
234399,Other Environmental Scientists,"Professional, Scientific and Technical Services",M
234399,Other Environmental Scientists,"Electricity, Gas, Water and Waste Services",D
234411,Geologists,Mining,B
234411,Geologists,"Professional, Scientific and Technical Services",M
234412,Geophysicists,Mining,B
234412,Geophysicists,"Professional, Scientific and Technical Services",M
234412,Geophysicists,Public Administration and Safety,O
234413,Hydrogeologists,"Professional, Scientific and Technical Services",M
234413,Hydrogeologists,Public Administration and Safety,O
234413,Hydrogeologists,Mining,B
234511,Biologists,Education and Training,P
234511,Biologists,"Professional, Scientific and Technical Services",M
234511,Biologists,Public Administration and Safety,O
234513,Biochemists,Education and Training,P
234513,Biochemists,Health Care and Social Assistance,Q
234513,Biochemists,"Professional, Scientific and Technical Services",M
234514,Biotechnologists,"Professional, Scientific and Technical Services",M
234514,Biotechnologists,Education and Training,P
234514,Biotechnologists,Health Care and Social Assistance,Q
234515,Botanists,"Professional, Scientific and Technical Services",M
234515,Botanists,Public Administration and Safety,O
234515,Botanists,Education and Training,P
234516,Marine Biologists,"Professional, Scientific and Technical Services",M
234516,Marine Biologists,Public Administration and Safety,O
234516,Marine Biologists,Education and Training,P
234517,Microbiologists,"Professional, Scientific and Technical Services",M
234517,Microbiologists,Manufacturing,C
234517,Microbiologists,Health Care and Social Assistance,Q
234518,Zoologists,"Professional, Scientific and Technical Services",M
234518,Zoologists,Public Administration and Safety,O
234518,Zoologists,Education and Training,P
234599,Other Life Scientists,Health Care and Social Assistance,Q
234599,Other Life Scientists,"Professional, Scientific and Technical Services",M
234599,Other Life Scientists,Education and Training,P
234911,Conservators,Arts and Recreation Services,R
234911,Conservators,Information Media and Telecommunications,J
234911,Conservators,Public Administration and Safety,O
234912,Metallurgists,Mining,B
234912,Metallurgists,"Professional, Scientific and Technical Services",M
234912,Metallurgists,Manufacturing,C
234913,Meteorologists,"Professional, Scientific and Technical Services",M
234913,Meteorologists,Education and Training,P
234913,Meteorologists,Public Administration and Safety,O
234914,Physicists (including Astronomers),Health Care and Social Assistance,Q
234914,Physicists (including Astronomers),Education and Training,P
234914,Physicists (including Astronomers),Public Administration and Safety,O
234915,Exercise Physiologists,Health Care and Social Assistance,Q
234915,Exercise Physiologists,Arts and Recreation Services,R
234999,Natural and Physical Science Professionals (not covered elsewhere),Health Care and Social Assistance,Q
234999,Natural and Physical Science Professionals (not covered elsewhere),Public Administration and Safety,O
234999,Natural and Physical Science Professionals (not covered elsewhere),"Professional, Scientific and Technical Services",M
241511,Special Needs Teachers,Education and Training,P
241512,Teachers of the Hearing Impaired,Education and Training,P
241512,Teachers of the Hearing Impaired,Health Care and Social Assistance,Q
241513,Teachers of the Sight Impaired,Education and Training,P
241599,Other Special Education Teachers,Education and Training,P
242111,University Lecturers,Education and Training,P
242112,University Tutors,Education and Training,P
249111,Education Advisers,Education and Training,P
249111,Education Advisers,Public Administration and Safety,O
249111,Education Advisers,Health Care and Social Assistance,Q
249112,Education Reviewers,Education and Training,P
249112,Education Reviewers,Public Administration and Safety,O
249112,Education Reviewers,"Professional, Scientific and Technical Services",M
249211,Art Teachers (Private Tuition),Education and Training,P
249211,Art Teachers (Private Tuition),Arts and Recreation Services,R
249211,Art Teachers (Private Tuition),Health Care and Social Assistance,Q
249212,Dance Teachers (Private Tuition),Education and Training,P
249213,Drama Teachers (Private Tuition),Education and Training,P
249213,Drama Teachers (Private Tuition),Arts and Recreation Services,R
249214,Music Teachers (Private Tuition),Education and Training,P
249299,Other Private Tutors and Teachers,Education and Training,P
251111,Dietitians,Health Care and Social Assistance,Q
251112,Nutritionists,Health Care and Social Assistance,Q
251112,Nutritionists,Other Services,S
251112,Nutritionists,Education and Training,P
251211,Medical Diagnostic Radiographers,Health Care and Social Assistance,Q
251212,Medical Radiation Therapists,Health Care and Social Assistance,Q
251213,Nuclear Medicine Technologists,Health Care and Social Assistance,Q
251214,Sonographers,Health Care and Social Assistance,Q
251311,Environmental Health Officers,Public Administration and Safety,O
251311,Environmental Health Officers,Health Care and Social Assistance,Q
251311,Environmental Health Officers,Manufacturing,C
251312,Occupational Health and Safety Advisers,Public Administration and Safety,O
251312,Occupational Health and Safety Advisers,Construction,E
251312,Occupational Health and Safety Advisers,Health Care and Social Assistance,Q
251411,Optometrists,Health Care and Social Assistance,Q
251412,Orthoptists,Health Care and Social Assistance,Q
251511,Hospital Pharmacists,Health Care and Social Assistance,Q
251511,Hospital Pharmacists,Retail Trade,G
251512,Industrial Pharmacists,Manufacturing,C
251512,Industrial Pharmacists,"Professional, Scientific and Technical Services",M
251512,Industrial Pharmacists,Wholesale Trade,F
251513,Retail Pharmacists,Retail Trade,G
251513,Retail Pharmacists,Health Care and Social Assistance,Q
251911,Health Promotion Officers,Health Care and Social Assistance,Q
251911,Health Promotion Officers,Education and Training,P
251911,Health Promotion Officers,Public Administration and Safety,O
251912,Orthotists and Prosthetists,Health Care and Social Assistance,Q
251912,Orthotists and Prosthetists,Manufacturing,C
251999,Genetic Counsellors (and Other Health Professionals not covered elsewhere),Health Care and Social Assistance,Q
251999,Genetic Counsellors (and Other Health Professionals not covered elsewhere),Public Administration and Safety,O
252111,Chiropractors,Health Care and Social Assistance,Q
252112,Osteopaths,Health Care and Social Assistance,Q
252211,Acupuncturists,Health Care and Social Assistance,Q
252212,Homoeopaths,Health Care and Social Assistance,Q
252213,Naturopaths,Health Care and Social Assistance,Q
252213,Naturopaths,Retail Trade,G
252214,Chinese Medicine Practitioners,Health Care and Social Assistance,Q
252299,"Music, Dance, Drama, Play, Hypnotic, and Related Therapists",Health Care and Social Assistance,Q
252299,"Music, Dance, Drama, Play, Hypnotic, and Related Therapists",Education and Training,P
252311,Dental Specialists (including Orthodontists),Health Care and Social Assistance,Q
252312,Dentists,Health Care and Social Assistance,Q
252711,Audiologists,Health Care and Social Assistance,Q
252711,Audiologists,Manufacturing,C
252712,Speech Pathologists,Health Care and Social Assistance,Q
252712,Speech Pathologists,Education and Training,P
253111,General Practitioners,Health Care and Social Assistance,Q
253112,Resident Medical Officers,Health Care and Social Assistance,Q
253311,Specialist Physicians (General Medicine),Health Care and Social Assistance,Q
253312,Cardiologists,Health Care and Social Assistance,Q
253313,Clinical Haematologists,Health Care and Social Assistance,Q
253314,Medical Oncologists,Health Care and Social Assistance,Q
253315,Endocrinologists,Health Care and Social Assistance,Q
253316,Gastroenterologists,Health Care and Social Assistance,Q
253317,Intensive Care Specialists,Health Care and Social Assistance,Q
253318,Neurologists,Health Care and Social Assistance,Q
253321,Paediatricians,Health Care and Social Assistance,Q
253322,Renal Medicine Specialists,Health Care and Social Assistance,Q
253323,Rheumatologists,Health Care and Social Assistance,Q
253324,Thoracic Medicine Specialists,Health Care and Social Assistance,Q
253399,Other Specialist Physicians,Health Care and Social Assistance,Q
253511,Surgeons (General),Health Care and Social Assistance,Q
253512,Cardiothoracic Surgeons,Health Care and Social Assistance,Q
253513,Neurosurgeons,Health Care and Social Assistance,Q
253514,Orthopaedic Surgeons,Health Care and Social Assistance,Q
253515,"Ear, Nose and Throat Specialists",Health Care and Social Assistance,Q
253516,Paediatric Surgeons,Health Care and Social Assistance,Q
253517,Plastic and Reconstructive Surgeons,Health Care and Social Assistance,Q
253518,Urologists,Health Care and Social Assistance,Q
253521,Vascular Surgeons,Health Care and Social Assistance,Q
253911,Dermatologists,Health Care and Social Assistance,Q
253912,Emergency Medicine Specialists,Health Care and Social Assistance,Q
253913,Obstetricians and Gynaecologists,Health Care and Social Assistance,Q
253914,Eye Specialists,Health Care and Social Assistance,Q
253915,Pathologists,Health Care and Social Assistance,Q
253917,Diagnostic and Interventional Radiologists,Health Care and Social Assistance,Q
253918,Radiation Oncologists,Health Care and Social Assistance,Q
253999,Medical Practitioners (not covered elsewhere),Health Care and Social Assistance,Q
254211,Nurse Educators,Health Care and Social Assistance,Q
254211,Nurse Educators,Education and Training,P
254212,Nurse Researchers,Health Care and Social Assistance,Q
254212,Nurse Researchers,"Professional, Scientific and Technical Services",M
254212,Nurse Researchers,Education and Training,P
254411,Nurse Practitioners,Health Care and Social Assistance,Q
254412,Registered Nurses (Aged Care),Health Care and Social Assistance,Q
254413,Registered Nurses (Child and Family Health),Health Care and Social Assistance,Q
254413,Registered Nurses (Child and Family Health),Public Administration and Safety,O
254414,Registered Nurses (Community Health),Health Care and Social Assistance,Q
254414,Registered Nurses (Community Health),Education and Training,P
254415,Registered Nurses (Critical Care and Emergency),Health Care and Social Assistance,Q
254417,Registered Nurses (Disability and Rehabilitation),Health Care and Social Assistance,Q
254418,Registered Nurses (Medical),Health Care and Social Assistance,Q
254421,Registered Nurses (Medical Practice),Health Care and Social Assistance,Q
254422,Registered Nurses (Mental Health),Health Care and Social Assistance,Q
254423,Registered Nurses (Perioperative),Health Care and Social Assistance,Q
254424,Registered Nurses (Surgical),Health Care and Social Assistance,Q
254425,Registered Nurses (Paediatrics),Health Care and Social Assistance,Q
254499,Registered Nurses (not covered elsewhere),Health Care and Social Assistance,Q
261111,ICT Business Analysts,"Professional, Scientific and Technical Services",M
261111,ICT Business Analysts,Financial and Insurance Services,K
261111,ICT Business Analysts,Public Administration and Safety,O
261112,Systems Analysts,"Professional, Scientific and Technical Services",M
261112,Systems Analysts,Financial and Insurance Services,K
261112,Systems Analysts,Public Administration and Safety,O
261211,Game and Multimedia Developers,"Professional, Scientific and Technical Services",M
261211,Game and Multimedia Developers,Information Media and Telecommunications,J
261211,Game and Multimedia Developers,Arts and Recreation Services,R
261212,Web Developers,"Professional, Scientific and Technical Services",M
261212,Web Developers,Information Media and Telecommunications,J
261212,Web Developers,Financial and Insurance Services,K
261311,Analyst Programmers,"Professional, Scientific and Technical Services",M
261311,Analyst Programmers,Financial and Insurance Services,K
261311,Analyst Programmers,Public Administration and Safety,O
261312,Developer Programmers,"Professional, Scientific and Technical Services",M
261312,Developer Programmers,Financial and Insurance Services,K
261312,Developer Programmers,Public Administration and Safety,O
261313,Software Engineers,"Professional, Scientific and Technical Services",M
261313,Software Engineers,Financial and Insurance Services,K
261313,Software Engineers,Information Media and Telecommunications,J
261314,Software Testers,"Professional, Scientific and Technical Services",M
261314,Software Testers,Financial and Insurance Services,K
261314,Software Testers,Public Administration and Safety,O
261399,Other Software and Applications Programmers,"Professional, Scientific and Technical Services",M
261399,Other Software and Applications Programmers,Financial and Insurance Services,K
261399,Other Software and Applications Programmers,Information Media and Telecommunications,J
262111,Database Administrators,"Professional, Scientific and Technical Services",M
262111,Database Administrators,Public Administration and Safety,O
262111,Database Administrators,Financial and Insurance Services,K
262112,ICT Security Specialists,"Professional, Scientific and Technical Services",M
262112,ICT Security Specialists,Public Administration and Safety,O
262112,ICT Security Specialists,Financial and Insurance Services,K
262113,Systems Administrators,"Professional, Scientific and Technical Services",M
262113,Systems Administrators,Public Administration and Safety,O
262113,Systems Administrators,Education and Training,P
263111,Computer Network and Systems Engineers,"Professional, Scientific and Technical Services",M
263111,Computer Network and Systems Engineers,Financial and Insurance Services,K
263111,Computer Network and Systems Engineers,Information Media and Telecommunications,J
263112,Network Administrators,"Professional, Scientific and Technical Services",M
263112,Network Administrators,Education and Training,P
263112,Network Administrators,Information Media and Telecommunications,J
263113,Network Analysts,"Professional, Scientific and Technical Services",M
263113,Network Analysts,Information Media and Telecommunications,J
263113,Network Analysts,Financial and Insurance Services,K
263211,ICT Quality Assurance Engineers,"Professional, Scientific and Technical Services",M
263211,ICT Quality Assurance Engineers,Financial and Insurance Services,K
263211,ICT Quality Assurance Engineers,Public Administration and Safety,O
263212,ICT Support Engineers,"Professional, Scientific and Technical Services",M
263212,ICT Support Engineers,Financial and Insurance Services,K
263212,ICT Support Engineers,Information Media and Telecommunications,J
263213,ICT Systems Test Engineers,"Professional, Scientific and Technical Services",M
263213,ICT Systems Test Engineers,Financial and Insurance Services,K
263213,ICT Systems Test Engineers,Public Administration and Safety,O
263299,Other ICT Support and Test Engineers,"Professional, Scientific and Technical Services",M
263299,Other ICT Support and Test Engineers,Financial and Insurance Services,K
263299,Other ICT Support and Test Engineers,Information Media and Telecommunications,J
263311,Telecommunications Engineers,Information Media and Telecommunications,J
263311,Telecommunications Engineers,"Professional, Scientific and Technical Services",M
263311,Telecommunications Engineers,Public Administration and Safety,O
263312,Telecommunications Network Engineers,Information Media and Telecommunications,J
263312,Telecommunications Network Engineers,"Professional, Scientific and Technical Services",M
263312,Telecommunications Network Engineers,Wholesale Trade,F
271211,Judges,Public Administration and Safety,O
271212,Magistrates,Public Administration and Safety,O
271213,Tribunal Members,Public Administration and Safety,O
271214,Intellectual Property Lawyers,"Professional, Scientific and Technical Services",M
271299,Judicial and Other Legal Professionals (not covered elsewhere),Public Administration and Safety,O
271299,Judicial and Other Legal Professionals (not covered elsewhere),"Professional, Scientific and Technical Services",M
271299,Judicial and Other Legal Professionals (not covered elsewhere),Financial and Insurance Services,K
272111,Careers Counsellors,Education and Training,P
272111,Careers Counsellors,Administrative and Support Services,N
272111,Careers Counsellors,Health Care and Social Assistance,Q
272112,Drug and Alcohol Counsellors,Health Care and Social Assistance,Q
272112,Drug and Alcohol Counsellors,Other Services,S
272113,Family and Marriage Counsellors,Health Care and Social Assistance,Q
272114,Rehabilitation Counsellors,Health Care and Social Assistance,Q
272114,Rehabilitation Counsellors,Financial and Insurance Services,K
272114,Rehabilitation Counsellors,Public Administration and Safety,O
272115,Student Counsellors,Education and Training,P
272115,Student Counsellors,Health Care and Social Assistance,Q
272199,Other Counsellors and Life Coaches,Education and Training,P
272199,Other Counsellors and Life Coaches,Health Care and Social Assistance,Q
272199,Other Counsellors and Life Coaches,Other Services,S
272311,Clinical Psychologists,Health Care and Social Assistance,Q
272311,Clinical Psychologists,Public Administration and Safety,O
272312,Educational Psychologists,Education and Training,P
272312,Educational Psychologists,Health Care and Social Assistance,Q
272313,Organisational Psychologists,Health Care and Social Assistance,Q
272313,Organisational Psychologists,"Professional, Scientific and Technical Services",M
272313,Organisational Psychologists,Public Administration and Safety,O
272314,Psychotherapists,Health Care and Social Assistance,Q
272314,Psychotherapists,Education and Training,P
272399,Other Psychologists,Health Care and Social Assistance,Q
272399,Other Psychologists,Education and Training,P
272399,Other Psychologists,Public Administration and Safety,O
272411,Historians,"Professional, Scientific and Technical Services",M
272411,Historians,Education and Training,P
272411,Historians,Arts and Recreation Services,R
272412,Interpreters,"Professional, Scientific and Technical Services",M
272412,Interpreters,Health Care and Social Assistance,Q
272412,Interpreters,Public Administration and Safety,O
272413,Translators,"Professional, Scientific and Technical Services",M
272413,Translators,Health Care and Social Assistance,Q
272413,Translators,Public Administration and Safety,O
272414,Archaeologists,"Professional, Scientific and Technical Services",M
272414,Archaeologists,Public Administration and Safety,O
272499,Other Social Professionals,"Professional, Scientific and Technical Services",M
272499,Other Social Professionals,Education and Training,P
272499,Other Social Professionals,Public Administration and Safety,O
272611,Community Arts Workers,Public Administration and Safety,O
272611,Community Arts Workers,Arts and Recreation Services,R
272611,Community Arts Workers,Health Care and Social Assistance,Q
272612,Recreation Officers,Public Administration and Safety,O
272612,Recreation Officers,Health Care and Social Assistance,Q
272612,Recreation Officers,Arts and Recreation Services,R
272613,Welfare Workers,Health Care and Social Assistance,Q
272613,Welfare Workers,Public Administration and Safety,O
311211,Anaesthetic Technicians,Health Care and Social Assistance,Q
311212,Cardiac Technicians,Health Care and Social Assistance,Q
311212,Cardiac Technicians,Wholesale Trade,F
311213,Medical Laboratory Technicians,Health Care and Social Assistance,Q
311214,Operating Theatre Technicians,Health Care and Social Assistance,Q
311215,Pharmacy Technicians,Retail Trade,G
311215,Pharmacy Technicians,Health Care and Social Assistance,Q
311216,Pathology Collectors,Health Care and Social Assistance,Q
311299,Other Medical Technicians,Health Care and Social Assistance,Q
311299,Other Medical Technicians,Manufacturing,C
311311,Fisheries Officers,Public Administration and Safety,O
311312,Meat Inspectors,Manufacturing,C
311312,Meat Inspectors,Administrative and Support Services,N
311312,Meat Inspectors,Public Administration and Safety,O
311313,Quarantine Officers,Public Administration and Safety,O
311313,Quarantine Officers,"Agriculture, Forestry and Fishing",A
311399,Other Primary Products Inspectors,Public Administration and Safety,O
311399,Other Primary Products Inspectors,"Agriculture, Forestry and Fishing",A
311399,Other Primary Products Inspectors,Manufacturing,C
311411,Chemistry Technicians,Manufacturing,C
311411,Chemistry Technicians,"Professional, Scientific and Technical Services",M
311411,Chemistry Technicians,Education and Training,P
311412,Earth Science Technicians,"Professional, Scientific and Technical Services",M
311412,Earth Science Technicians,Mining,B
311412,Earth Science Technicians,Construction,E
311413,Life Science Technicians,"Professional, Scientific and Technical Services",M
311413,Life Science Technicians,Education and Training,P
311413,Life Science Technicians,Health Care and Social Assistance,Q
311414,School Laboratory Technicians,Education and Training,P
311415,Hydrographers,"Electricity, Gas, Water and Waste Services",D
311415,Hydrographers,Public Administration and Safety,O
311415,Hydrographers,"Professional, Scientific and Technical Services",M
311499,Other Science Technicians,"Professional, Scientific and Technical Services",M
311499,Other Science Technicians,Public Administration and Safety,O
311499,Other Science Technicians,Manufacturing,C
312111,Architectural Draftspersons,"Professional, Scientific and Technical Services",M
312111,Architectural Draftspersons,Construction,E
312112,Building Associates,Construction,E
312113,Building Inspectors,"Professional, Scientific and Technical Services",M
312113,Building Inspectors,Public Administration and Safety,O
312113,Building Inspectors,Construction,E
312114,Construction Estimators,Construction,E
312114,Construction Estimators,Manufacturing,C
312115,Plumbing Inspectors,Public Administration and Safety,O
312115,Plumbing Inspectors,Construction,E
312115,Plumbing Inspectors,"Electricity, Gas, Water and Waste Services",D
312116,Surveying and Spatial Science Technicians,"Professional, Scientific and Technical Services",M
312116,Surveying and Spatial Science Technicians,Public Administration and Safety,O
312116,Surveying and Spatial Science Technicians,Construction,E
312199,"Other Architectural, Building and Surveying Technicians","Professional, Scientific and Technical Services",M
312199,"Other Architectural, Building and Surveying Technicians",Construction,E
312199,"Other Architectural, Building and Surveying Technicians",Manufacturing,C
312211,Civil Engineering Draftspersons,"Professional, Scientific and Technical Services",M
312211,Civil Engineering Draftspersons,Construction,E
312211,Civil Engineering Draftspersons,Public Administration and Safety,O
312212,Civil Engineering Technicians,"Professional, Scientific and Technical Services",M
312212,Civil Engineering Technicians,Public Administration and Safety,O
312212,Civil Engineering Technicians,Construction,E
312311,Electrical Engineering Draftspersons,"Professional, Scientific and Technical Services",M
312311,Electrical Engineering Draftspersons,"Electricity, Gas, Water and Waste Services",D
312311,Electrical Engineering Draftspersons,Construction,E
312312,Electrical Engineering Technicians,Construction,E
312312,Electrical Engineering Technicians,"Electricity, Gas, Water and Waste Services",D
312312,Electrical Engineering Technicians,Manufacturing,C
312411,Electronic Engineering Draftspersons,Manufacturing,C
312411,Electronic Engineering Draftspersons,"Professional, Scientific and Technical Services",M
312411,Electronic Engineering Draftspersons,Public Administration and Safety,O
312412,Electronic Engineering Technicians,Public Administration and Safety,O
312412,Electronic Engineering Technicians,Manufacturing,C
312412,Electronic Engineering Technicians,Information Media and Telecommunications,J
312511,Mechanical Engineering Draftspersons,"Professional, Scientific and Technical Services",M
312511,Mechanical Engineering Draftspersons,Manufacturing,C
312511,Mechanical Engineering Draftspersons,Construction,E
312512,Mechanical Engineering Technicians,Manufacturing,C
312512,Mechanical Engineering Technicians,Other Services,S
312512,Mechanical Engineering Technicians,"Professional, Scientific and Technical Services",M
312911,Maintenance Planners,Mining,B
312911,Maintenance Planners,Manufacturing,C
312911,Maintenance Planners,Construction,E
312912,Metallurgical and Materials Technicians,"Professional, Scientific and Technical Services",M
312912,Metallurgical and Materials Technicians,Mining,B
312912,Metallurgical and Materials Technicians,Manufacturing,C
312913,Mine Deputies,Mining,B
312913,Mine Deputies,Manufacturing,C
312999,Building and Engineering Technicians (not covered elsewhere),Manufacturing,C
312999,Building and Engineering Technicians (not covered elsewhere),Mining,B
312999,Building and Engineering Technicians (not covered elsewhere),Health Care and Social Assistance,Q
313111,Hardware Technicians,"Professional, Scientific and Technical Services",M
313111,Hardware Technicians,Other Services,S
313111,Hardware Technicians,Retail Trade,G
313112,ICT Customer Support Officers,"Professional, Scientific and Technical Services",M
313112,ICT Customer Support Officers,Education and Training,P
313112,ICT Customer Support Officers,Public Administration and Safety,O
313113,Web Administrators,Retail Trade,G
313113,Web Administrators,"Professional, Scientific and Technical Services",M
313113,Web Administrators,Public Administration and Safety,O
313199,Other ICT Support Technicians,Public Administration and Safety,O
313199,Other ICT Support Technicians,"Professional, Scientific and Technical Services",M
313199,Other ICT Support Technicians,Information Media and Telecommunications,J
313211,Radiocommunications Technicians,Information Media and Telecommunications,J
313211,Radiocommunications Technicians,Public Administration and Safety,O
313211,Radiocommunications Technicians,"Professional, Scientific and Technical Services",M
313212,Telecommunications Field Engineers,Information Media and Telecommunications,J
313212,Telecommunications Field Engineers,Construction,E
313213,Telecommunications Network Planners,Information Media and Telecommunications,J
313213,Telecommunications Network Planners,Construction,E
313213,Telecommunications Network Planners,"Professional, Scientific and Technical Services",M
313214,Telecommunications Technical Officers and Technologists,Information Media and Telecommunications,J
313214,Telecommunications Technical Officers and Technologists,Public Administration and Safety,O
313214,Telecommunications Technical Officers and Technologists,"Professional, Scientific and Technical Services",M
321211,Motor Mechanics (General),Other Services,S
321211,Motor Mechanics (General),Retail Trade,G
321212,Diesel Motor Mechanics,Other Services,S
321212,Diesel Motor Mechanics,"Transport, Postal and Warehousing",I
321212,Diesel Motor Mechanics,Wholesale Trade,F
321213,Motorcycle Mechanics,Other Services,S
321213,Motorcycle Mechanics,Retail Trade,G
321214,Small Engine Mechanics,Other Services,S
321214,Small Engine Mechanics,Retail Trade,G
321214,Small Engine Mechanics,Manufacturing,C
322111,Blacksmiths,Manufacturing,C
322112,Electroplaters,Manufacturing,C
322113,Farriers,"Agriculture, Forestry and Fishing",A
322113,Farriers,Arts and Recreation Services,R
322114,Metal Casting Trades Workers,Manufacturing,C
322114,Metal Casting Trades Workers,Mining,B
322115,Metal Polishers,Manufacturing,C
322115,Metal Polishers,Other Services,S
322311,Metal Fabricators,Manufacturing,C
322311,Metal Fabricators,Construction,E
322311,Metal Fabricators,Mining,B
322312,Pressure Welders,Manufacturing,C
322312,Pressure Welders,Construction,E
322312,Pressure Welders,"Electricity, Gas, Water and Waste Services",D
322313,Welders (First Class),Manufacturing,C
322313,Welders (First Class),Construction,E
323111,Aircraft Maintenance Engineers (Avionics),Public Administration and Safety,O
323111,Aircraft Maintenance Engineers (Avionics),Manufacturing,C
323111,Aircraft Maintenance Engineers (Avionics),"Transport, Postal and Warehousing",I
323112,Aircraft Maintenance Engineers (Mechanical),Public Administration and Safety,O
323112,Aircraft Maintenance Engineers (Mechanical),Manufacturing,C
323112,Aircraft Maintenance Engineers (Mechanical),"Transport, Postal and Warehousing",I
323113,Aircraft Maintenance Engineers (Structures),Manufacturing,C
323113,Aircraft Maintenance Engineers (Structures),"Transport, Postal and Warehousing",I
323113,Aircraft Maintenance Engineers (Structures),Public Administration and Safety,O
323211,Fitters (General),Mining,B
323211,Fitters (General),Manufacturing,C
323211,Fitters (General),Other Services,S
323212,Fitter and Turners,Manufacturing,C
323212,Fitter and Turners,Other Services,S
323212,Fitter and Turners,Mining,B
323213,Fitter-Welders,Manufacturing,C
323213,Fitter-Welders,Construction,E
323213,Fitter-Welders,Other Services,S
323214,Metal Machinists (First Class),Manufacturing,C
323214,Metal Machinists (First Class),Other Services,S
323214,Metal Machinists (First Class),"Professional, Scientific and Technical Services",M
323215,"Textile, Clothing and Footwear Mechanics",Other Services,S
323215,"Textile, Clothing and Footwear Mechanics",Manufacturing,C
323215,"Textile, Clothing and Footwear Mechanics",Retail Trade,G
323299,Other Metal Fitters and Machinists,Other Services,S
323299,Other Metal Fitters and Machinists,"Agriculture, Forestry and Fishing",A
323299,Other Metal Fitters and Machinists,Wholesale Trade,F
323311,Engravers,Manufacturing,C
323311,Engravers,Retail Trade,G
323311,Engravers,Other Services,S
323312,Gunsmiths,Public Administration and Safety,O
323312,Gunsmiths,Manufacturing,C
323312,Gunsmiths,Construction,E
323313,Locksmiths,Other Services,S
