anzsco_code,occupation,industry,industry_code
149412,Railway Station Managers,"Transport, Postal and Warehousing",I
149413,Transport Company Managers,"Transport, Postal and Warehousing",I
149413,Transport Company Managers,"Rental, Hiring and Real Estate Services",L
149911,Boarding Kennel and Cattery Operators,Other Services,S
149911,Boarding Kennel and Cattery Operators,"Agriculture, Forestry and Fishing",A
149912,Cinema and Theatre Managers,Information Media and Telecommunications,J
149912,Cinema and Theatre Managers,Arts and Recreation Services,R
149913,Facilities Managers,"Rental, Hiring and Real Estate Services",L
149913,Facilities Managers,Health Care and Social Assistance,Q
149913,Facilities Managers,Construction,E
149914,Bank Managers and Branch Managers,Financial and Insurance Services,K
149915,Equipment Hire Managers,"Rental, Hiring and Real Estate Services",L
149915,Equipment Hire Managers,Construction,E
149999,"Hospitality, Retail and Service Managers (not covered elsewhere)","Professional, Scientific and Technical Services",M
149999,"Hospitality, Retail and Service Managers (not covered elsewhere)",Construction,E
149999,"Hospitality, Retail and Service Managers (not covered elsewhere)",Administrative and Support Services,N
211111,Actors,Arts and Recreation Services,R
211111,Actors,Information Media and Telecommunications,J
211111,Actors,Education and Training,P
211112,Dancers and Choreographers,Arts and Recreation Services,R
211112,Dancers and Choreographers,Education and Training,P
211112,Dancers and Choreographers,Accommodation and Food Services,H
211113,Entertainers and Variety Artists,Arts and Recreation Services,R
211113,Entertainers and Variety Artists,Accommodation and Food Services,H
211199,"Other Actors, Dancers and Entertainers",Arts and Recreation Services,R
211199,"Other Actors, Dancers and Entertainers",Information Media and Telecommunications,J
211199,"Other Actors, Dancers and Entertainers",Education and Training,P
211211,Composers,Arts and Recreation Services,R
211211,Composers,Information Media and Telecommunications,J
211211,Composers,Education and Training,P
211212,Music Directors,Education and Training,P
211212,Music Directors,Arts and Recreation Services,R
211212,Music Directors,Other Services,S
211213,Musicians,Arts and Recreation Services,R
211213,Musicians,Education and Training,P
211213,Musicians,Public Administration and Safety,O
211214,Singers,Arts and Recreation Services,R
211214,Singers,Other Services,S
211299,Other Music Professionals,Education and Training,P
211299,Other Music Professionals,Arts and Recreation Services,R
