Survey month,State and territory,Leave entitlements,Industry,Classification,Category,Persons Weekly Earnings,Persons Weekly Earnings_RSE,Persons Hourly Earnings,Persons Hourly Earnings_RSE,Persons Employees 000,Persons Employees 000_RSE,Males Weekly Earnings,Males Weekly Earnings_RSE,Males Hourly Earnings,Males Hourly Earnings_RSE,Males Employees 000,Males Employees 000_RSE,Females Weekly Earnings,Females Weekly Earnings_RSE,Females Hourly Earnings,Females Hourly Earnings_RSE,Females Employees 000,Females Employees_RSE,Sub_Category,ParentCategory,Industry_Code
2014,Australia,With leave entitlements,Total,Mean earnings,Full-time,1492.729,1.063,39.179,1.072,0,0,1619.941,1.385,41.03,1.336,0,0,1294.281,0.975,36.289,1.314,0,0,,Full-time,T
2014,Australia,With leave entitlements,Total,Mean earnings,Part-time,728.036,2.148,33.364,2.042,0,0,717.211,6.748,31.695,6.19,0,0,730.77,2.01,33.785,2.031,0,0,,Part-time,T
2014,Australia,With leave entitlements,Total,Mean earnings,Total,1342.043,1.003,38.033,0.99,0,0,1552.15,1.357,40.331,1.341,0,0,1106.045,0.946,35.452,1.224,0,0,,Total,T
2014,Australia,Without leave entitlements,"Agriculture, forestry and fishing",Mean earnings,Full-time,971.549,22.867,24.308,23.561,0,0,1015.526,25.841,24.328,24.893,0,0,849.622,33.432,24.252,37.191,0,0,,Full-time,A
2014,Australia,Without leave entitlements,"Agriculture, forestry and fishing",Mean earnings,Part-time,341.374,20.952,19.961,18.895,0,0,364.699,24.576,21.077,23.757,0,0,311.222,27.09,18.518,23.312,0,0,,Part-time,A
2014,Australia,Without leave entitlements,"Agriculture, forestry and fishing",Mean earnings,Total,666.398,20.248,22.203,18.009,0,0,743.025,22.617,22.967,19.543,0,0,522.786,27.11,20.771,24.24,0,0,,Total,A
2014,Australia,Without leave entitlements,Mining,Mean earnings,Full-time,2077.111,17.802,45.996,17.114,0,0,2117.764,21.045,42.026,18.594,0,0,1874.333,43.035,65.798,53.94,0,0,,Full-time,B
2014,Australia,Without leave entitlements,Mining,Mean earnings,Part-time,504.952,51.692,37.006,45.346,0,0,506.504,62.638,32.936,51.973,0,0,500,100.7,50,100.7,0,0,,Part-time,B
2014,Australia,Without leave entitlements,Mining,Mean earnings,Total,1928.564,17.638,45.146,16.882,0,0,1977.457,20.633,41.234,17.774,0,0,1696.079,41.544,63.749,49.576,0,0,,Total,B
2014,Australia,Without leave entitlements,Manufacturing,Mean earnings,Full-time,1046.539,12.037,25.984,11.881,0,0,1081.272,11.035,26.182,10.307,0,0,909.333,31.777,25.205,30.638,0,0,,Full-time,C
2014,Australia,Without leave entitlements,Manufacturing,Mean earnings,Part-time,397.894,10.398,22.786,9.716,0,0,481.678,20.454,25.686,19.379,0,0,350.72,12.269,21.134,10.298,0,0,,Part-time,C
2014,Australia,Without leave entitlements,Manufacturing,Mean earnings,Total,730.729,9.718,24.432,8.495,0,0,901.466,10.281,26.033,10.096,0,0,490.197,17.112,22.16,11.948,0,0,,Total,C
2014,Australia,Without leave entitlements,"Electricity, gas, water and waste services",Mean earnings,Full-time,1912.902,36.781,51.22,36.743,0,0,2058.305,44.516,55.623,44.246,0,0,1463.849,59.623,37.621,59.197,0,0,,Full-time,D
2014,Australia,Without leave entitlements,"Electricity, gas, water and waste services",Mean earnings,Part-time,212.552,45.56,40.014,57.88,0,0,185.031,63.58,53.72,71.285,0,0,252.756,72.836,19.991,73.991,0,0,,Part-time,D
2014,Australia,Without leave entitlements,"Electricity, gas, water and waste services",Mean earnings,Total,1487.229,35.77,48.415,33.429,0,0,1668.891,43.832,55.228,39.245,0,0,1031.697,56.383,31.33,51.83,0,0,,Total,D
2014,Australia,Without leave entitlements,Construction,Mean earnings,Full-time,1475.481,8.667,32.167,7.863,0,0,1501.066,8.796,32.554,8.003,0,0,895.56,40.129,23.416,40.648,0,0,,Full-time,E
2014,Australia,Without leave entitlements,Construction,Mean earnings,Part-time,451.359,11.808,26.774,11.551,0,0,448.677,15.945,23.167,13.578,0,0,456.466,18.699,33.643,18.635,0,0,,Part-time,E
2014,Australia,Without leave entitlements,Construction,Mean earnings,Total,1151.62,7.848,30.462,6.376,0,0,1247.994,8.228,30.296,7.043,0,0,548.539,15.806,31.498,16.152,0,0,,Total,E
2014,Australia,Without leave entitlements,Wholesale trade,Mean earnings,Full-time,874.672,17.666,24.746,18.028,0,0,774.58,20.905,22.785,20.242,0,0,1082.498,34.616,28.82,35.47,0,0,,Full-time,F
2014,Australia,Without leave entitlements,Wholesale trade,Mean earnings,Part-time,427.042,15.926,25.686,15.238,0,0,402.862,27.031,20.865,24.246,0,0,444.279,18.089,28.921,18.695,0,0,,Part-time,F
2014,Australia,Without leave entitlements,Wholesale trade,Mean earnings,Total,605.48,13.818,25.306,12.758,0,0,595.437,18.355,21.889,16.607,0,0,616.329,19.166,28.894,16.858,0,0,,Total,F
2014,Australia,Without leave entitlements,Retail trade,Mean earnings,Full-time,885.129,12.247,25.127,11.076,0,0,876.585,17.123,24.346,16.898,0,0,897.914,21.553,26.296,20.831,0,0,,Full-time,G
2014,Australia,Without leave entitlements,Retail trade,Mean earnings,Part-time,287.938,7.16,20.67,5.861,0,0,312.511,9.036,21.424,8.286,0,0,276.192,7.376,20.308,6.066,0,0,,Part-time,G
2014,Australia,Without leave entitlements,Retail trade,Mean earnings,Total,364.29,5.897,21.241,5.18,0,0,433.031,8.57,22.05,7.345,0,0,325.842,7.192,20.788,5.783,0,0,,Total,G
2014,Australia,Without leave entitlements,Accommodation and food services,Mean earnings,Full-time,889.212,9.427,22.888,9.18,0,0,902.346,15.808,23.442,15.573,0,0,876.953,12.679,22.364,13.161,0,0,,Full-time,H
2014,Australia,Without leave entitlements,Accommodation and food services,Mean earnings,Part-time,280.636,4.776,18.704,4.335,0,0,267.459,6.229,18.521,5.272,0,0,288.168,5.923,18.809,5.084,0,0,,Part-time,H
2014,Australia,Without leave entitlements,Accommodation and food services,Mean earnings,Total,375.693,4.057,19.355,3.28,0,0,392.694,7.653,19.495,4.798,0,0,365.17,5.407,19.268,4.558,0,0,,Total,H
2014,Australia,Without leave entitlements,"Transport, postal and warehousing",Mean earnings,Full-time,1116.889,11.374,25.929,10.975,0,0,1128.165,11.069,26.08,10.512,0,0,822.09,47.829,21.961,47.926,0,0,,Full-time,I
