_CODE_2021,Tot_P_P
21161,811
21162,22
21163,2826
21164,238
21165,9933
21166,108
21167,7360
21168,6758
21169,5252
21170,75
21171,75
21172,631
21173,368
21174,3507
21175,365
21176,178
21177,14
21178,130
21179,2050
21180,39
21181,1815
21182,36
21183,18
21184,122
21185,12016
21186,151
21187,20736
21188,29
21189,171
21190,99
21191,330
21192,290
21193,17331
21194,21
21195,1124
21196,676
21197,28
21198,31
21199,36
21200,70
21201,694
21202,914
21203,37216
21204,44
21205,93
21206,15134
21207,128
21208,34
21209,67
21210,0
21211,158
21212,5
21213,63
21214,7563
21215,352
21216,23
21217,20
21218,1949
21219,3585
21220,46
21221,206
21222,320
21223,3554
21224,28
21225,51
21226,41
21227,80
21228,304
21229,1391
21230,346
21231,886
21232,96
21233,601
21234,1746
21235,6526
21236,900
21237,1692
21238,240
21239,118
21240,16
21241,1163
21242,365
21243,100
21244,84
21245,5977
21246,13374
21247,3762
21248,2187
21249,161
21250,1907
21251,28
21252,106
21253,382
21254,4151
21255,16
21256,185
21257,49
21258,117
21259,46
21260,76
21261,584
21262,124
21263,34
21264,18
21265,476
21266,0
21267,6
21268,17
21269,584
21270,17
21271,26
21272,85
21273,326
21274,20
21275,42
21276,150
21277,1051
21278,0
21279,3862
21280,93
21281,41
21282,1350
21283,161
21284,5548
21285,48
21286,1418
21287,1277
21288,28
21289,89
21290,9
21291,28
21292,74
21293,11328
21294,1208
21295,891
21296,53
21297,17
21298,51
21299,29
21300,169
21301,135
21302,94
21303,9
21304,40
21305,15
21306,453
21307,30
21308,120
21309,492
21310,1025
21311,189
21312,3226
21313,57
21314,5906
21315,9857
21316,15078
21317,1668
21318,67
21319,2684
21320,13
21321,76
21322,64
21323,3
21324,44
21325,74
21326,5880
21327,10745
21328,3960
21329,44
21330,232
21331,76
21332,118
21333,83
21334,86
21335,36
21336,24499
21337,6620
21338,57
21339,30018
21340,8667
21341,170
21342,415
21343,64
21344,483
21345,578
21346,9
21347,1485
21348,195
21349,391
21350,156
21351,165
21352,9207
21353,450
21354,11699
21355,2862
21356,96
21357,87
21358,1662
21359,413
21360,1305
21361,46
21362,8203
21363,3460
21364,190
21365,3920
21366,26
21367,12
21368,406
21369,134
21370,67
21371,22
21372,0
21373,168
21374,7645
21375,28
21376,26
21377,188
21378,207
21379,60
21380,4047
21381,47
21382,19
21383,26
21384,1101
21385,305
21386,366
21387,29
21388,397
21389,89
21390,41
21391,0
21392,115
21393,842
21394,66
21395,75
21396,2184
21397,143
21398,63
21399,4749
21400,114
21401,196
21402,134
21403,132
21404,355
21405,134
21406,16
21407,45
21408,5
21409,0
21410,61
21411,10711
21412,7416
21413,69
21414,7513
21415,116
21416,363
21417,179
21418,115
21419,386
21420,304
21421,118
21422,4
21423,6
21424,14
21425,57
21426,162
21427,982
21428,368
21429,408
21430,147
21431,9
21432,3
21433,0
21434,23
21435,1801
21436,22
21437,58
21438,21
21439,22
21440,37
21441,86
21442,70
21443,4
21444,802
21445,0
21446,0
21447,2878
21448,3
21449,5145
21450,621
21451,138
21452,23219
21453,49
21454,398
21455,143
21456,2743
21457,200
21458,49
21459,2556
21460,94
21461,23
21462,336
21463,23
21464,100
21465,52
21466,100
21467,23588
21468,1346
21469,19014
21470,110
21471,200
21472,82
21473,2495
21474,247
21475,87
21476,4760
21477,119
21478,16
21479,14
21480,8
21481,20
21482,396
21483,43
21484,167
21485,65
21486,576
21487,251
21488,1317
21489,47
21490,5869
21491,141
21492,616
21493,13272
21494,0
21495,66
21496,1181
21497,284
21498,7
21499,9
21500,94
21501,85
21502,112
21503,84
21504,17348
21505,92
21506,165
21507,142
21508,121
21509,527
21510,475
21511,9
21512,32
21513,13
21514,635
21515,33
21516,472
21517,36
21518,5
21519,74
21520,1353
21521,62
21522,42
21523,707
21524,1021
21525,0
21526,850
21527,131
21528,806
21529,1052
21530,24
21531,59
21532,159
21533,343
21534,3420
21535,237
21536,1489
21537,570
21538,2436
21539,230
21540,263
21541,131
21542,1327
21543,8
21544,2782
21545,30
21546,236
21547,3962
21548,7
21549,40
21550,2994
21551,1439
21552,25
21553,220
21554,9121
21555,8926
21556,31
21557,189
21558,6681
21559,994
21560,469
21561,878
21562,2073
21563,35
21564,9892
21565,67
21566,31
21567,121
21568,21
21569,5491
21570,20
21571,5384
21572,73
21573,368
21574,5407
21575,9389
21576,490
21577,42
21578,453
21579,239
21580,75
21581,36
21582,198
21583,1665
21584,1183
21585,905
21586,9929
21587,22296
21588,315
21589,274
21590,753
21591,280
21592,183
21593,2681
21594,108
21595,65
21596,29
21597,12675
21598,7
21599,5541
21600,6
21601,164
21602,248
21603,272
21604,12573
21605,116
21606,230
21607,6
21608,602
21609,99
21610,6
21611,11
21612,2005
21613,80
21614,77
21615,2299
21616,0
21617,98
21618,8160
21619,646
21620,501
21621,43
21622,23
21623,7
21624,211
21625,3311
21626,47
21627,140
21628,775
21629,6878
21630,121
21631,143
21632,87
21633,102
21634,112
21635,14890
21636,19
21637,840
21638,12
21639,90
21640,54941
21641,64
21642,7953
21643,11362
21644,8784
21645,63
21646,17
21647,32
21648,13197
21649,966
21650,36
21651,73
21652,83
21653,2770
21654,407
21655,223
21656,821
21657,70
21658,249
21659,23369
21660,182
21661,43
21662,184
21663,157
21664,423
21665,679
21666,0
21667,721
21668,397
21669,42
21670,216
21671,190
21672,25
21673,1899
21674,213
21675,17452
21676,22
21677,4000
21678,91
21679,223
21680,33
21681,588
21682,34565
21683,28712
21684,180
21685,1666
21686,37
21687,46
21688,31
21689,62
21690,16
21691,3829
21692,44
21693,106
21694,64
21695,51
21696,65
21697,13
21698,525
21699,0
21700,0
21701,36
21702,334
21703,2263
21704,0
21705,31
21706,16795
21707,887
21708,71
21709,116
21710,66
21711,171
21712,12
21713,30
21714,169
21715,277
21716,9375
21717,529
21718,120
21719,28
21720,6
21721,91
21722,80
21723,34
21724,105
21725,20
21726,160
21727,3651
21728,207
21729,49
21730,0
21731,69
21732,4948
21733,5609
21734,65
21735,9250
21736,6900
21737,1825
21738,23
21739,44
21740,185
21741,49
21742,16224
21743,85
21744,81
21745,32
21746,6287
21747,26
21748,94
21749,79
21750,25
21751,43
21752,5
21753,75
21754,1004
21755,23059
21756,8312
21757,144
21758,67
21759,193
21760,8886
21761,29
21762,852
21763,25759
21764,0
21765,118
21766,0
21767,1477
21768,10
21769,14389
21770,138
21771,39
21772,910
21773,15
21774,46
21775,29
21776,47
21777,5
21778,333
21779,180
21780,61
21781,136
21782,15
21783,3671
21784,21
21785,10
21786,496
21787,1271
21788,118
21789,8
21790,6182
21791,139
21792,706
21793,18734
21794,28
21795,9799
21796,99
21797,92
21798,3011
21799,18
21800,44
21801,1450
21802,10
21803,19846
21804,94
21805,251
21806,16
21807,2225
21808,41
21809,42
21810,295
21811,0
21812,0
21813,330
21814,119
21815,117
21816,35340
21817,54
21818,85
21819,108
21820,437
21821,31
21822,403
21823,170
21824,426
21825,33
21826,184
21827,19889
21828,100
21829,138
21830,167
21831,29
21832,884
21833,140
21834,185
21835,132
21836,69
21837,14
21838,46
21839,63
21840,230
21841,41
21842,126
21843,8
21844,105
21845,278
21846,8
21847,114
21848,95
21849,9996
21850,897
21851,177
21852,170
21853,59
21854,17
21855,98
21856,64
21857,545
21858,7
21859,387
21860,168
21861,68
21862,126
21863,3285
21864,26
21865,212
21866,20
21867,2254
21868,72
21869,22
21870,280
21871,30
21872,54
21873,17
21874,153
21875,425
21876,0
21877,555
21878,1023
21879,819
21880,201
21881,48
21882,79
21883,24
21884,87
21885,122
21886,124
21887,96
21888,66
21889,262
21890,50
21891,31
21892,462
21893,27689
21894,434
21895,8033
21896,30909
21897,24
21898,1982
21899,548
21900,89
21901,40
21902,99
21903,276
21904,70
21905,3
21906,23
21907,218
21908,196
21909,139
21910,41
21911,1599
21912,379
21913,0
21914,191
21915,238
21916,48
21917,970
21918,14
21919,111
21920,56
21921,2509
21922,6886
21923,171
21924,84
21925,4704
21926,59
21927,533
21928,547
21929,1844
21930,866
21931,136
21932,230
21933,415
21934,13658
21935,451
21936,820
21937,189
21938,10445
21939,2401
21940,1723
21941,1322
21942,5901
21943,410
21944,344
21945,9
21946,19
21947,168
21948,13
21949,50
21950,12
21951,90
21952,32257
21953,7436
21954,177
21955,318
21956,17
21957,84
21958,37
21959,89
21960,8682
21961,34
21962,130
21963,4277
21964,50
21965,3225
21966,14953
21967,325
21968,282
21969,3027
21970,3475
21971,25276
21972,203
21973,40
21974,2895
21975,199
21976,20
21977,24
21978,36
21979,64
21980,96
21981,233
21982,46
21983,92
21984,4604
21985,12413
21986,327
21987,0
21988,33
21989,43
21990,7
21991,158
21992,536
21993,673
21994,17
21995,3
21996,1644
21997,18
21998,6714
21999,439
22000,8442
22001,6804
22002,9851
22003,19
22004,5
22005,17714
22006,18503
22007,1159
22008,45
22009,1773
22010,93
22011,411
22012,9
22013,101
22014,2264
22015,115
22016,8328
22017,450
22018,285
22019,270
22020,1170
22021,197
22022,710
22023,49
22024,25
22025,36
22026,14
22027,54118
22028,229
22029,1196
22030,67
22031,442
22032,1063
22033,41
22034,172
22035,167
22036,3835
22037,12308
22038,7074
22039,188
22040,33
22041,18171
22042,10534
22043,75
22044,51
22045,149
22046,138
22047,7793
22048,58
22049,3636
22050,3867
22051,125
22052,177
22053,54
22054,29
22055,110
22056,677
22057,159
22058,158
22059,22
22060,49
22061,72
22062,322
22063,7
22064,360
22065,230
22066,206
22067,14
22068,52
22069,6
22070,29
22071,17
22072,191
22073,40
22074,267
22075,32
22076,4
22077,365
22078,189
